phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,12.871054,4003.451,764.771394,19.126361,764.771394,4768.222394
eval,1,1.397466,341.171,90.054089,2.662475,90.054089,431.225089
train,2,10.081131,3431.457,552.837484,11.380728,552.837484,3984.294484
eval,2,0.6972,179.737,39.805085,1.122791,39.805085,219.542085
train,3,10.107759,3470.73,551.508924,12.860556,551.508924,4022.238924
eval,3,0.708622,171.476,38.918611,0.987559,38.918611,210.394611
train,4,10.12222,3467.694,557.980025,10.415141,557.980025,4025.674025
eval,4,0.702392,173.305,39.596448,0.896163,39.596448,212.901448
train,5,10.149795,3479.15,560.970608,11.014033,560.970608,4040.120608
eval,5,0.719849,157.622,40.209286,0.981013,40.209286,197.831286
train,6,10.143034,3459.505,556.995304,12.996352,556.995304,4016.500304
eval,6,0.705886,170.04,39.41236,0.799733,39.41236,209.45236
train,7,10.155306,3504.919,562.810723,11.031137,562.810723,4067.729723
eval,7,0.736658,191.312,41.106028,0.86879,41.106028,232.418028
train,8,10.153072,3475.677,560.4228,13.596191,560.4228,4036.0998
eval,8,0.734776,165.733,41.064161,0.892395,41.064161,206.797161
train,9,10.166228,3513.364,562.618732,13.082713,562.618732,4075.982732
eval,9,0.708259,171.598,39.671456,0.845934,39.671456,211.269456
train,10,10.156036,3481.595,561.594523,13.114083,561.594523,4043.189523
eval,10,0.708929,180.608,39.696311,1.104771,39.696311,220.304311
train,11,10.180536,3510.163,566.606334,12.023533,566.606334,4076.769334
eval,11,0.751522,180.806,42.019113,0.939466,42.019113,222.825113
train,12,10.180979,3496.525,564.907477,13.414482,564.907477,4061.432477
eval,12,0.730857,175.279,40.339406,1.026208,40.339406,215.618406
train,13,10.173672,3476.955,567.399017,13.385493,567.399017,4044.354017
eval,13,0.721164,177.706,40.742446,0.909118,40.742446,218.448446
train,14,10.171586,3504.9,565.63147,13.322233,565.63147,4070.53147
eval,14,0.712944,182.411,40.2288,0.931425,40.2288,222.6398
train,15,10.175191,3505.151,568.211247,13.208347,568.211247,4073.362247
eval,15,0.729411,193.147,40.982073,1.081151,40.982073,234.129073
train,16,10.186267,3500.514,568.820406,13.260209,568.820406,4069.334406
eval,16,0.750881,180.072,42.197341,1.084157,42.197341,222.269341
train,17,10.182398,3478.45,568.726448,14.077458,568.726448,4047.176448
eval,17,0.724344,176.257,40.596655,1.05773,40.596655,216.853655
train,18,10.180474,3477.914,568.469457,13.301146,568.469457,4046.383457
eval,18,0.699183,179.805,39.409674,1.107486,39.409674,219.214674
train,19,10.245342,3505.857,573.197775,13.298934,573.197775,4079.054775
eval,19,0.710608,167.83,40.156111,1.067495,40.156111,207.986111
train,20,10.17569,3515.96,567.482493,13.766287,567.482493,4083.442493
eval,20,0.693607,173.786,39.062906,1.118518,39.062906,212.848906
train,21,10.18072,3465.076,568.942379,14.352315,568.942379,4034.018379
eval,21,0.720852,176.924,40.775739,1.111164,40.775739,217.699739
train,22,10.175023,3480.069,569.071523,13.395959,569.071523,4049.140523
eval,22,0.708747,181.461,39.960001,1.039115,39.960001,221.421001
train,23,10.179693,3511.773,570.008043,13.734047,570.008043,4081.781043
eval,23,0.756068,181.911,42.655799,1.102543,42.655799,224.566799
train,24,10.179136,3479.739,568.533694,13.063823,568.533694,4048.272694
eval,24,0.702235,181.542,39.847854,1.314538,39.847854,221.389854
train,25,10.186671,3505.699,571.226654,13.866302,571.226654,4076.925654
eval,25,0.756133,177.334,42.725283,1.086248,42.725283,220.059283
train,26,10.205031,3501.166,571.122869,13.488697,571.122869,4072.288869
eval,26,0.736018,169.421,41.792868,0.953091,41.792868,211.213868
train,27,10.203469,3514.553,572.693025,13.866882,572.693025,4087.246025
eval,27,0.756739,189.68,42.756548,1.047172,42.756548,232.436548
train,28,10.181955,3472.802,579.080496,12.415236,579.080496,4051.882496
eval,28,0.720174,175.504,41.060667,0.88649,41.060667,216.564667
train,29,10.174056,3474.537,577.300849,11.669425,577.300849,4051.837849
eval,29,0.757378,181.392,43.090255,0.876312,43.090255,224.482255
train,30,10.185539,3487.853,575.775126,11.528365,575.775126,4063.628126
eval,30,0.741642,165.845,42.446062,0.872117,42.446062,208.291062
