ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc,precision
Python/PyTorch,resnet18,fashionmnist,2,1002,1,0.4463196640173594,,0.3439403361320495,87.24,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,2,0.2774580437819163,,0.3271270114183426,88.01,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,3,0.2206550888935725,,0.3124436086595058,88.43,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,4,0.1823731895844141,,0.3076411973774433,89.49,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,5,0.1525552133321762,,0.3125871402621269,89.18,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,6,0.1277198629101117,,0.3283208438873291,89.8,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,7,0.1071901322762171,,0.3492620588870719,89.28,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,8,0.0947147048632303,,0.3700652889490127,89.63,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,9,0.0772893154342969,,0.4174058608599007,89.32,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,10,0.0726084369162718,,0.4030577971100807,89.88,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,11,0.0629877419908841,,0.4000887746334076,89.8,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,12,0.0588059994796911,,0.4317519945934415,89.25,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,13,0.0522760606467723,,0.4198448943674564,89.79,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,14,0.0477209894180297,,0.4289830053448677,90.01,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,15,0.0473027251407504,,0.4257297523282468,89.91,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,16,0.0408365794082482,,0.5002773974128067,89.0,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,17,0.0371982961028814,,0.4608982231207192,89.78,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,18,0.0377774714415272,,0.4725480559021234,90.02,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,19,0.0308577698275446,,0.4444193910892529,90.44,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,20,0.0351002848903338,,0.4579492267931113,90.11,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,21,0.0322718453084429,,0.4526780141708906,90.38,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,22,0.0290903162536521,,0.477971795798093,90.2,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,23,0.030108418884625,,0.4859709312755614,90.27,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,24,0.0263621135259668,,0.4758075999488123,90.06,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,25,0.027423880754287,,0.4902790893614292,89.93,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,26,0.0248542820947865,,0.5211757027357816,90.05,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,27,0.0236991347111761,,0.5127411472221837,90.11,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,28,0.0243823443065087,,0.491400135597866,90.13,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,29,0.0213523304046442,,0.5184183121979237,89.94,fp32
Python/PyTorch,resnet18,fashionmnist,2,1002,30,0.0219802678330491,,0.5138435599310142,90.16,fp32
