ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,train_acc,test_loss,test_acc
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,1,5.122232437133789,0.010763444006443024,4.978959083557129,1.5725160017609596
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,2,4.8423871994018555,0.025408130139112473,4.6883649826049805,3.9763621985912323
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,3,4.548457622528076,0.04731513932347298,4.525321006774902,5.4587338119745255
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,4,4.3565568923950195,0.06421054899692535,4.28503942489624,7.1514420211315155
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,5,4.208102703094482,0.08115597069263458,4.1890082359313965,8.864182978868484
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,6,4.047162055969238,0.10308298468589783,4.071342468261719,10.486778616905212
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,7,3.89288592338562,0.12627041339874268,4.005796909332275,12.5
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,8,3.7444095611572266,0.14766725897789001,3.8565289974212646,14.372996985912323
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,9,3.5751824378967285,0.1745958775281906,3.890141487121582,14.633414149284363
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,10,3.4045231342315674,0.20167453587055206,3.714400053024292,17.397835850715637
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,11,3.2122268676757812,0.23134402930736542,3.732020854949951,18.018829822540283
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,12,3.0232794284820557,0.2622339129447937,3.6958813667297363,18.940304219722748
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,13,2.811875104904175,0.2986755669116974,3.7836248874664307,19.711539149284363
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,14,2.586921453475952,0.3389984667301178,3.9265148639678955,19.90184336900711
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,15,2.356691837310791,0.38611355423927307,4.129735469818115,19.68149095773697
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,16,2.123293399810791,0.4312880039215088,4.382436275482178,19.080528616905212
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,17,1.8943856954574585,0.4830445647239685,4.584523677825928,18.88020783662796
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,18,1.6811271905899048,0.5289892554283142,4.997529029846191,18.499599397182465
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,19,1.4799978733062744,0.5783450603485107,5.446871757507324,18.22916716337204
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,20,1.291404366493225,0.6261403560638428,5.63245964050293,18.65985542535782
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,21,1.128663182258606,0.6669734120368958,6.1156325340271,18.05889457464218
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,22,1.0084820985794067,0.7000840306282043,6.411820411682129,18.609775602817535
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,23,0.889883279800415,0.731023907661438,6.583472728729248,17.79847741127014
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,24,0.7962472438812256,0.7583226561546326,7.291572093963623,17.96875
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,25,0.7107304930686951,0.7824403643608093,7.756297588348389,18.329326808452606
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,26,0.6493898630142212,0.800686240196228,8.325892448425293,17.698317766189575
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,27,0.5930346250534058,0.8165112733840942,8.07388973236084,17.437900602817535
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,28,0.5437020063400269,0.8315560817718506,8.61608600616455,17.85857379436493
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,29,0.5048984289169312,0.8443402051925659,8.74436092376709,17.457932233810425
Python/TensorFlow,vgg16,tinyimagenet,1,1001,fp32,30,0.4705130159854889,0.8540033102035522,8.810893058776855,17.367789149284363
