language,efficiency
R,26474.978173467145
C++,17933.813706823035
MATLAB,16495.927671093068
java,14859.08359613765
TensorFlow,10709.304744266148
Rust,9857.645256010737
JAX,9817.924207862978
PyTorch,9804.832377332628
