ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc,precision
Python/PyTorch,resnet18,fashionmnist,1,1001,1,0.4447103628794352,,0.3504835740327835,86.99,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,2,0.2797364576339721,,0.3352679624319076,87.72,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,3,0.223597929517428,,0.3156273984313011,88.55,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,4,0.1823668659925461,,0.3107891795828938,88.83,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,5,0.1516785113811493,,0.3931424812212586,87.31,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,6,0.1289256839593251,,0.3540662133160513,88.66,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,7,0.1084328882455825,,0.3607728964090347,89.15,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,8,0.0945416223327318,,0.3496031374469399,89.5,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,9,0.0792504215081532,,0.3903359714239836,89.69,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,10,0.0712678731024265,,0.4045415498119313,89.79,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,11,0.0640253537098566,,0.4036449203414842,89.63,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,12,0.0558495910584926,,0.4381654644034803,88.88,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,13,0.0550372434109449,,0.4342112583108246,89.17,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,14,0.0449401041924953,,0.4454449029833078,89.05,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,15,0.0476779501964648,,0.4407915145367383,90.17,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,16,0.0397803678790728,,0.4694906422957778,89.16,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,17,0.0393871636658906,,0.4976327976860047,88.86,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,18,0.0395138688196738,,0.4621234293433371,89.56,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,19,0.0392760124464829,,0.4446058571278117,89.27,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,20,0.0301567864413062,,0.4673205427810549,89.97,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,21,0.0267985328644514,,0.4934733457923168,89.87,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,22,0.0335467004162569,,0.4913751538779586,90.16,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,23,0.0281895882079998,,0.518637568538083,89.21,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,24,0.0281795657001435,,0.4984381228000508,89.45,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,25,0.0254393213133017,,0.4759888564443216,89.96,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,26,0.0271298232021431,,0.5130943429444916,89.76,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,27,0.0293852542705833,,0.4697652285277843,89.92,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,28,0.0222247425432006,,0.4800343922801315,90.51,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,29,0.0236793437432497,,0.488940875731493,90.18,fp32
Python/PyTorch,resnet18,fashionmnist,1,1001,30,0.0241709396450469,,0.5241824527852237,89.8,fp32
