ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,train_acc,test_loss,test_acc
Python/JAX,resnet18,fashionmnist,0,1000,fp32,1,0.4526340067386627,83.6455078125,0.3888472616672516,86.0977554321289
Python/JAX,resnet18,fashionmnist,0,1000,fp32,2,0.2883854806423187,89.24111938476562,0.34607815742492676,87.83052825927734
Python/JAX,resnet18,fashionmnist,0,1000,fp32,3,0.22658471763134003,91.44631958007812,0.3214004635810852,88.98237609863281
Python/JAX,resnet18,fashionmnist,0,1000,fp32,4,0.18355587124824524,92.98377990722656,0.32272252440452576,88.71194458007812
Python/JAX,resnet18,fashionmnist,0,1000,fp32,5,0.1528707891702652,94.16734313964844,0.36740079522132874,88.19110870361328
Python/JAX,resnet18,fashionmnist,0,1000,fp32,6,0.12816649675369263,95.09716033935547,0.3727033734321594,88.78205108642578
Python/JAX,resnet18,fashionmnist,0,1000,fp32,7,0.10761194676160812,95.9334945678711,0.37338942289352417,88.9022445678711
Python/JAX,resnet18,fashionmnist,0,1000,fp32,8,0.08954118192195892,96.56283569335938,0.4087965488433838,88.70191955566406
Python/JAX,resnet18,fashionmnist,0,1000,fp32,9,0.0799979567527771,97.0335922241211,0.41568031907081604,88.9022445678711
Python/JAX,resnet18,fashionmnist,0,1000,fp32,10,0.07272841781377792,97.32071685791016,0.43748098611831665,88.81210327148438
Python/JAX,resnet18,fashionmnist,0,1000,fp32,11,0.061838630586862564,97.69799041748047,0.43703579902648926,89.20272827148438
Python/JAX,resnet18,fashionmnist,0,1000,fp32,12,0.05413397401571274,98.00347900390625,0.4662032425403595,89.10256958007812
Python/JAX,resnet18,fashionmnist,0,1000,fp32,13,0.05091946944594383,98.10029602050781,0.4673636555671692,89.50320434570312
Python/JAX,resnet18,fashionmnist,0,1000,fp32,14,0.047569163143634796,98.25721740722656,0.47971221804618835,89.2928695678711
Python/JAX,resnet18,fashionmnist,0,1000,fp32,15,0.04517924785614014,98.3707275390625,0.48276638984680176,89.6834945678711
Python/JAX,resnet18,fashionmnist,0,1000,fp32,16,0.04109761118888855,98.44418334960938,0.4720105826854706,89.69351196289062
Python/JAX,resnet18,fashionmnist,0,1000,fp32,17,0.03884273022413254,98.57772827148438,0.4930896461009979,89.59335327148438
Python/JAX,resnet18,fashionmnist,0,1000,fp32,18,0.033735502511262894,98.75301361083984,0.4998326599597931,89.76362609863281
Python/JAX,resnet18,fashionmnist,0,1000,fp32,19,0.03421016037464142,98.73297882080078,0.5397475361824036,89.34294891357422
Python/JAX,resnet18,fashionmnist,0,1000,fp32,20,0.03367998078465462,98.71461486816406,0.5387315154075623,89.49319458007812
Python/JAX,resnet18,fashionmnist,0,1000,fp32,21,0.026294326409697533,99.04180908203125,0.5431395173072815,89.85376739501953
Python/JAX,resnet18,fashionmnist,0,1000,fp32,22,0.027169620618224144,99.02344512939453,0.565994381904602,89.54327392578125
Python/JAX,resnet18,fashionmnist,0,1000,fp32,23,0.02865496277809143,99.01175689697266,0.5186334252357483,89.6534423828125
Python/JAX,resnet18,fashionmnist,0,1000,fp32,24,0.02812330797314644,99.01175689697266,0.5453329086303711,89.6434326171875
Python/JAX,resnet18,fashionmnist,0,1000,fp32,25,0.026383783668279648,99.10189819335938,0.5323329567909241,89.93389892578125
Python/JAX,resnet18,fashionmnist,0,1000,fp32,26,0.02315250039100647,99.22376251220703,0.553091824054718,89.39302825927734
Python/JAX,resnet18,fashionmnist,0,1000,fp32,27,0.025042138993740082,99.11692810058594,0.533962607383728,89.91386413574219
Python/JAX,resnet18,fashionmnist,0,1000,fp32,28,0.025081342086195946,99.14029693603516,0.5489138960838318,89.57331848144531
Python/JAX,resnet18,fashionmnist,0,1000,fp32,29,0.022774457931518555,99.15865325927734,0.567243754863739,89.39302825927734
Python/JAX,resnet18,fashionmnist,0,1000,fp32,30,0.022946730256080627,99.1786880493164,0.5737050175666809,90.0040054321289
