model,dataset,n_runs,n_collapsed,collapse_pct
resnet18,cifar100,35,0,0.0
resnet18,fashionmnist,30,0,0.0
resnet18,tinyimagenet,30,0,0.0
vgg16,cifar100,30,5,16.7
vgg16,fashionmnist,30,0,0.0
vgg16,tinyimagenet,30,7,23.3
