ecosystem,norm_energy,norm_time,EI_alpha_0.00,EI_alpha_0.25,EI_alpha_0.50,EI_alpha_0.75,EI_alpha_1.00,rank_alpha_0.00,rank_alpha_0.25,rank_alpha_0.50,rank_alpha_0.75,rank_alpha_1.00,rank_range_over_alpha
Rust/tch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0
Python/PyTorch,1.780886,1.429761,1.429761,1.517542,1.605324,1.693105,1.780886,2,2,2,2,2,0
C++/LibTorch,1.915902,1.439071,1.439071,1.558279,1.677487,1.796694,1.915902,3,3,3,4,4,1
Python/JAX,1.822149,1.556978,1.556978,1.62327,1.689563,1.755856,1.822149,4,4,4,3,3,1
MATLAB/DLT,3.893788,3.987616,3.987616,3.964159,3.940702,3.917245,3.893788,5,5,5,5,5,0
Python/TensorFlow,4.215512,4.528033,4.528033,4.449902,4.371772,4.293642,4.215512,6,6,6,6,6,0
Java/DL4J,7.047421,6.092338,6.092338,6.331109,6.569879,6.80865,7.047421,7,7,7,7,7,0
R/torch,9.939135,11.63101,11.63101,11.208041,10.785073,10.362104,9.939135,8,8,8,8,8,0
