phase_length,n_epochs,mean_ratio,p95_ratio,worst_ratio,mean_error_pct,worst_error_pct
<1 s,3664,1.0132,1.057,1.4875,1.32,48.7
1-3 s,2066,1.0031,1.0264,1.0712,0.31,7.1
3-10 s,1535,1.0007,1.0063,1.0221,0.07,2.2
10-30 s,2695,1.0004,1.0033,1.0109,0.04,1.1
>30 s,1860,1.0001,1.0006,1.0021,0.01,0.2
