phase_length,n_epochs,power_counters_w,power_codecarbon_w,understated_by
<1 s,3874,268.335,40.155,6.68
1-3 s,2246,312.526,125.456,2.49
3-10 s,1655,331.988,230.966,1.44
10-30 s,2875,312.438,316.068,0.99
>30 s,1950,258.366,278.219,0.93
