run,ecosystem,model,dataset,repetition,n_samples,util_mean_pct,mem_mean_mib,power_mean_w,power_min_w,power_max_w
Cpp-LibTorch_resnet18_cifar100_rep1,C++/LibTorch,resnet18,cifar100,1,292,28.8,795.0,174.4,107.3,266.2
Cpp-LibTorch_resnet18_cifar100_rep2,C++/LibTorch,resnet18,cifar100,2,292,29.3,795.0,173.4,27.4,264.2
Cpp-LibTorch_resnet18_cifar100_rep3,C++/LibTorch,resnet18,cifar100,3,292,28.6,796.0,174.7,57.7,263.6
Cpp-LibTorch_resnet18_cifar100_rep4,C++/LibTorch,resnet18,cifar100,4,368,23.7,797.0,165.0,47.4,262.5
Cpp-LibTorch_resnet18_fashionmnist_rep2,C++/LibTorch,resnet18,fashionmnist,2,383,26.6,792.0,169.1,26.8,264.0
Cpp-LibTorch_resnet18_fashionmnist_rep3,C++/LibTorch,resnet18,fashionmnist,3,306,32.8,795.0,179.8,52.1,265.1
Cpp-LibTorch_resnet18_fashionmnist_rep4,C++/LibTorch,resnet18,fashionmnist,4,380,26.4,795.0,169.2,57.3,265.1
Cpp-LibTorch_resnet18_tinyimagenet_rep1,C++/LibTorch,resnet18,tinyimagenet,1,377,42.2,796.0,195.5,27.7,267.1
Cpp-LibTorch_resnet18_tinyimagenet_rep2,C++/LibTorch,resnet18,tinyimagenet,2,453,35.1,796.0,185.0,29.6,266.5
Cpp-LibTorch_resnet18_tinyimagenet_rep3,C++/LibTorch,resnet18,tinyimagenet,3,376,43.7,797.0,196.9,63.9,267.8
Cpp-LibTorch_resnet18_tinyimagenet_rep4,C++/LibTorch,resnet18,tinyimagenet,4,452,36.6,797.0,184.5,34.7,266.9
Cpp-LibTorch_vgg16_cifar100_rep1,C++/LibTorch,vgg16,cifar100,1,382,47.7,1095.0,238.1,49.9,349.4
Cpp-LibTorch_vgg16_cifar100_rep2,C++/LibTorch,vgg16,cifar100,2,456,40.0,1096.0,221.6,50.2,349.4
Cpp-LibTorch_vgg16_cifar100_rep3,C++/LibTorch,vgg16,cifar100,3,382,46.6,1096.0,240.7,52.7,349.7
Cpp-LibTorch_vgg16_cifar100_rep4,C++/LibTorch,vgg16,cifar100,4,456,39.5,1096.0,222.6,110.2,349.4
Cpp-LibTorch_vgg16_fashionmnist_rep1,C++/LibTorch,vgg16,fashionmnist,1,416,52.0,1094.0,249.9,28.4,349.4
Cpp-LibTorch_vgg16_fashionmnist_rep2,C++/LibTorch,vgg16,fashionmnist,2,492,42.9,1093.0,229.0,27.2,349.3
Cpp-LibTorch_vgg16_fashionmnist_rep3,C++/LibTorch,vgg16,fashionmnist,3,416,51.7,1095.0,248.8,46.5,349.4
Cpp-LibTorch_vgg16_fashionmnist_rep4,C++/LibTorch,vgg16,fashionmnist,4,491,44.5,1095.0,231.4,28.6,349.0
Cpp-LibTorch_vgg16_tinyimagenet_rep1,C++/LibTorch,vgg16,tinyimagenet,1,557,63.2,1099.0,274.7,29.3,349.6
Cpp-LibTorch_vgg16_tinyimagenet_rep2,C++/LibTorch,vgg16,tinyimagenet,2,632,54.8,1100.0,258.3,28.9,349.9
Cpp-LibTorch_vgg16_tinyimagenet_rep3,C++/LibTorch,vgg16,tinyimagenet,3,556,63.1,1101.0,275.8,100.8,349.6
Cpp-LibTorch_vgg16_tinyimagenet_rep4,C++/LibTorch,vgg16,tinyimagenet,4,631,56.1,1100.0,257.7,28.7,349.5
Java-DL4J_resnet18_cifar100_rep1,Java/DL4J,resnet18,cifar100,1,1175,36.5,9156.0,190.4,27.6,219.5
Java-DL4J_resnet18_cifar100_rep2,Java/DL4J,resnet18,cifar100,2,1212,35.5,9741.0,189.0,27.9,218.3
Java-DL4J_resnet18_cifar100_rep3,Java/DL4J,resnet18,cifar100,3,1174,36.7,9563.0,192.1,27.4,221.2
Java-DL4J_resnet18_cifar100_rep4,Java/DL4J,resnet18,cifar100,4,1212,35.5,9541.0,188.4,27.4,219.1
Java-DL4J_resnet18_fashionmnist_rep1,Java/DL4J,resnet18,fashionmnist,1,1369,37.2,11106.0,191.8,27.5,218.3
Java-DL4J_resnet18_fashionmnist_rep2,Java/DL4J,resnet18,fashionmnist,2,1411,35.9,11282.0,189.8,27.1,217.9
Java-DL4J_resnet18_fashionmnist_rep3,Java/DL4J,resnet18,fashionmnist,3,1362,37.4,9000.0,192.9,28.1,221.0
Java-DL4J_resnet18_fashionmnist_rep4,Java/DL4J,resnet18,fashionmnist,4,1394,36.4,11222.0,190.0,28.0,216.3
Java-DL4J_resnet18_tinyimagenet_rep2,Java/DL4J,resnet18,tinyimagenet,2,2161,37.5,8647.0,191.0,27.2,219.1
Java-DL4J_resnet18_tinyimagenet_rep3,Java/DL4J,resnet18,tinyimagenet,3,2124,38.1,8622.0,195.1,27.9,220.9
Java-DL4J_resnet18_tinyimagenet_rep4,Java/DL4J,resnet18,tinyimagenet,4,2126,38.1,9724.0,191.9,27.9,218.1
Java-DL4J_vgg16_cifar100_rep1,Java/DL4J,vgg16,cifar100,1,1429,78.5,3945.0,322.3,27.7,346.9
Java-DL4J_vgg16_cifar100_rep2,Java/DL4J,vgg16,cifar100,2,1472,77.6,3995.0,317.3,27.3,346.0
Java-DL4J_vgg16_cifar100_rep3,Java/DL4J,vgg16,cifar100,3,1449,78.9,3886.0,319.9,27.6,346.4
Java-DL4J_vgg16_cifar100_rep4,Java/DL4J,vgg16,cifar100,4,1474,77.2,3929.0,318.6,27.7,346.6
Java-DL4J_vgg16_fashionmnist_rep2,Java/DL4J,vgg16,fashionmnist,2,1678,79.2,3853.0,322.7,27.3,347.9
Java-DL4J_vgg16_fashionmnist_rep3,Java/DL4J,vgg16,fashionmnist,3,1651,80.5,3785.0,322.3,27.2,346.9
Java-DL4J_vgg16_fashionmnist_rep4,Java/DL4J,vgg16,fashionmnist,4,1693,78.5,3818.0,320.1,27.8,347.7
Java-DL4J_vgg16_tinyimagenet_rep1,Java/DL4J,vgg16,tinyimagenet,1,2559,82.5,3855.0,327.9,27.2,346.4
Java-DL4J_vgg16_tinyimagenet_rep2,Java/DL4J,vgg16,tinyimagenet,2,2593,82.0,3903.0,325.4,27.1,347.3
Java-DL4J_vgg16_tinyimagenet_rep3,Java/DL4J,vgg16,tinyimagenet,3,2559,83.2,3839.0,326.6,27.9,346.9
Java-DL4J_vgg16_tinyimagenet_rep4,Java/DL4J,vgg16,tinyimagenet,4,2627,81.2,3945.0,322.5,27.5,346.0
Python-JAX_resnet18_cifar100_rep1,Python/JAX,resnet18,cifar100,1,365,12.2,18528.0,137.7,27.3,170.5
Python-JAX_resnet18_cifar100_rep2,Python/JAX,resnet18,cifar100,2,440,10.1,18495.0,134.8,27.1,169.8
