ecosystem,norm_energy,norm_time,EI_alpha_0.00,EI_alpha_0.25,EI_alpha_0.50,EI_alpha_0.75,EI_alpha_1.00,rank_alpha_0.00,rank_alpha_0.25,rank_alpha_0.50,rank_alpha_0.75,rank_alpha_1.00,rank_range_over_alpha
C++/LibTorch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0
Python/PyTorch,1.332444,1.171643,1.171643,1.211843,1.252043,1.292243,1.332444,2,2,2,2,2,0
Python/JAX,1.680727,1.551143,1.551143,1.583539,1.615935,1.648331,1.680727,3,3,3,3,3,0
MATLAB/DLT,1.953464,1.963547,1.963547,1.961026,1.958506,1.955985,1.953464,4,4,4,4,4,0
Rust/tch,2.733038,2.128512,2.128512,2.279644,2.430775,2.581906,2.733038,5,5,5,5,5,0
Java/DL4J,3.164339,2.539179,2.539179,2.695469,2.851759,3.008049,3.164339,6,6,6,6,6,0
Python/TensorFlow,3.438686,3.212456,3.212456,3.269014,3.325571,3.382129,3.438686,7,7,7,7,7,0
R/torch,8.834049,8.468572,8.468572,8.559941,8.65131,8.74268,8.834049,8,8,8,8,8,0
