quantity,value
floor on the reported window (s),4.944
"median window excess, phases longer than 6 s (s)",0.0165
"95th pct window excess, phases longer than 6 s (s)",4.5839
"median |error| of max(phase, floor) (s)",0.8458
"R2 of max(phase, floor)",0.9842
