ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Cpp/LibTorch,vgg16,fashionmnist,3,Training,175089.123278,446.969083,152340.328,22748.795278,391.72535626586057
Cpp/LibTorch,vgg16,fashionmnist,4,Inference,5236.156622,15.294113000000001,4402.581,833.5756220000001,342.36419084911955
Cpp/LibTorch,vgg16,fashionmnist,4,Training,174557.135829,446.939378,151899.764,22657.371829,390.5611016199159
Cpp/LibTorch,vgg16,tinyimagenet,0,Inference,7359.32139,21.679115,6077.498,1281.82339,339.4659509855453
Cpp/LibTorch,vgg16,tinyimagenet,0,Training,296377.989636,747.818909,255875.781,40502.208636,396.32320882648344
Cpp/LibTorch,vgg16,tinyimagenet,1,Inference,7319.31644,21.697163,6012.463,1306.85344,337.3397913819424
Cpp/LibTorch,vgg16,tinyimagenet,1,Training,295864.69043,744.018936,254817.372,41047.31843,397.65747363989135
Cpp/LibTorch,vgg16,tinyimagenet,2,Inference,7261.010269,21.626725,6011.468,1249.542269,335.7424792242006
Cpp/LibTorch,vgg16,tinyimagenet,2,Training,293732.893591,745.582291,254548.654,39184.239591,393.96441833004855
Cpp/LibTorch,vgg16,tinyimagenet,3,Inference,7182.436131,21.73422,5915.51,1266.926131,330.46670784596824
Cpp/LibTorch,vgg16,tinyimagenet,3,Training,292577.914244,741.948117,253263.903,39314.011244,394.3374307990864
Cpp/LibTorch,vgg16,tinyimagenet,4,Inference,7469.668035,21.779377,6176.786,1292.882035,342.96977526033
Cpp/LibTorch,vgg16,tinyimagenet,4,Training,296491.499472,746.67516,255829.233,40662.266472,397.08231283869145
Java/DL4J,resnet18,cifar100,0,Inference,16331.008059,61.991021,13086.708,3244.300059,263.44150806937023
Java/DL4J,resnet18,cifar100,0,Training,250413.20217499998,1006.078171,198925.514,51487.688175,248.900343326304
Java/DL4J,resnet18,cifar100,1,Inference,16375.027837,61.755895,13130.234,3244.793837,265.1573236368771
Java/DL4J,resnet18,cifar100,1,Training,249801.34634699998,999.196829,198402.681,51398.665347,250.00214081644168
Java/DL4J,resnet18,cifar100,2,Inference,16251.43127,62.281337,13106.894,3144.53727,260.93581244089216
Java/DL4J,resnet18,cifar100,2,Training,246466.703122,1002.315492,196706.864,49759.839122,245.89732982197586
Java/DL4J,resnet18,cifar100,3,Inference,16424.448928,62.711122,13192.169,3232.279928,261.9064753457927
Java/DL4J,resnet18,cifar100,3,Training,250037.232318,1011.628916,198939.473,51097.759318,247.1629946153101
Java/DL4J,resnet18,cifar100,4,Inference,16580.547959,63.083539,13300.625,3279.922959,262.8347778490994
Java/DL4J,resnet18,cifar100,4,Training,249988.160836,1008.848685,198639.109,51349.051836,247.79549654267527
