ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Python/TensorFlow,resnet18,cifar100,1,Training,28220.594594,80.657219,23586.547,4634.047594,349.88305998995577
Python/TensorFlow,resnet18,cifar100,2,Inference,1953.372706,9.991755,1370.86,582.512706,195.49845907951106
Python/TensorFlow,resnet18,cifar100,2,Training,27728.652017,81.195312,23218.966,4509.686017,341.5055787580446
Python/TensorFlow,resnet18,cifar100,3,Inference,1925.649051,9.686163,1358.458,567.191051,198.80411376517202
Python/TensorFlow,resnet18,cifar100,3,Training,27780.108914,80.573672,23254.891,4525.217914,344.7789857957572
Python/TensorFlow,resnet18,cifar100,4,Inference,1940.36331,9.836083,1370.05,570.31331,197.26992035345776
Python/TensorFlow,resnet18,cifar100,4,Training,27592.541203,80.742698,23174.355,4418.186203,341.73419871354804
Python/TensorFlow,resnet18,fashionmnist,0,Inference,1534.795615,7.7867370000000005,1084.874,449.921615,197.10382089442598
Python/TensorFlow,resnet18,fashionmnist,0,Training,32430.175444,93.86904,27406.502,5023.673444,345.483190666486
Python/TensorFlow,resnet18,fashionmnist,1,Inference,1581.490333,7.730406,1119.878,461.612333,204.5805010758814
Python/TensorFlow,resnet18,fashionmnist,1,Training,33126.156026,93.878191,27931.771,5194.385026,352.863169529971
Python/TensorFlow,resnet18,fashionmnist,2,Inference,1541.564834,7.743437999999999,1085.859,455.705834,199.08015457733376
Python/TensorFlow,resnet18,fashionmnist,2,Training,32970.12529,94.146752,27862.959,5107.16629,350.1992855791775
Python/TensorFlow,resnet18,fashionmnist,3,Inference,1538.343106,7.506187,1098.792,439.551106,204.94334953285872
Python/TensorFlow,resnet18,fashionmnist,3,Training,32807.782472,93.65267,27757.712,5050.070472,350.3133703716082
Python/TensorFlow,resnet18,fashionmnist,4,Inference,1568.658742,7.743233,1116.568,452.090742,202.5844685288432
Python/TensorFlow,resnet18,fashionmnist,4,Training,33115.974762,94.560138,28039.919,5076.055762,350.2107279285062
Python/TensorFlow,resnet18,tinyimagenet,0,Inference,4237.128896,21.905155,2993.901,1243.227896,193.43067401257832
Python/TensorFlow,resnet18,tinyimagenet,0,Training,69355.57274,218.325204,56522.976,12832.596739999999,317.6709398150843
Python/TensorFlow,resnet18,tinyimagenet,1,Inference,4181.022619,21.697617,2953.953,1227.069619,192.69501434189755
Python/TensorFlow,resnet18,tinyimagenet,1,Training,69049.204706,217.00213,56333.892,12715.312706,318.19597672151883
Python/TensorFlow,resnet18,tinyimagenet,2,Inference,4196.358524,21.644553,2962.5,1233.858524,193.87596149479273
Python/TensorFlow,resnet18,tinyimagenet,2,Training,69589.446857,217.441213,56763.421,12826.025857,320.03798128646383
Python/TensorFlow,resnet18,tinyimagenet,3,Inference,4216.302346,21.416813,2986.115,1230.187346,196.868803308877
Python/TensorFlow,resnet18,tinyimagenet,3,Training,69544.443143,216.385068,56674.284,12870.159143,321.3920617803443
Python/TensorFlow,resnet18,tinyimagenet,4,Inference,4208.299514,21.635801,2975.743,1232.5565139999999,194.50629602296675
Python/TensorFlow,resnet18,tinyimagenet,4,Training,69017.551116,216.179801,56269.699,12747.852116,319.2599437909558
Python/TensorFlow,vgg16,cifar100,0,Inference,3839.732277,11.67402,3188.418,651.3142770000001,328.91260054377153
Python/TensorFlow,vgg16,cifar100,0,Training,93251.196202,244.096545,81311.302,11939.894202,382.025875056937
Python/TensorFlow,vgg16,cifar100,1,Inference,3848.10433,11.685282,3191.971,656.13333,329.3120636712062
Python/TensorFlow,vgg16,cifar100,1,Training,93935.018725,244.972424,81862.465,12072.553725,383.45139910523153
Python/TensorFlow,vgg16,cifar100,2,Inference,3724.120832,11.648041,3078.815,645.305832,319.72078669709356
Python/TensorFlow,vgg16,cifar100,2,Training,93624.863984,245.225395,81726.075,11898.788984,381.7910619901336
Python/TensorFlow,vgg16,cifar100,3,Inference,3788.388576,11.646828,3133.495,654.893576,325.2721321204366
Python/TensorFlow,vgg16,cifar100,3,Training,93294.192653,243.819965,81262.174,12032.018653,382.6355756100613
Python/TensorFlow,vgg16,cifar100,4,Inference,3871.528283,11.655083,3222.419,649.109283,332.17509330478384
Python/TensorFlow,vgg16,cifar100,4,Training,93753.710533,244.974511,81780.787,11972.923533,382.7080219500877
Python/TensorFlow,vgg16,fashionmnist,0,Inference,3815.546228,11.595804,3193.146,622.400228,329.0454226373609
Python/TensorFlow,vgg16,fashionmnist,0,Training,111786.570137,291.210262,97751.084,14035.486137,383.8689247049955
Python/TensorFlow,vgg16,fashionmnist,1,Inference,3922.505968,11.585251,3292.035,630.470968,338.5775558941278
Python/TensorFlow,vgg16,fashionmnist,1,Training,111923.760394,290.712942,97688.591,14235.169394,384.9975155010471
Python/TensorFlow,vgg16,fashionmnist,2,Inference,3866.833189,11.632182,3244.483,622.350189,332.4254373770974
Python/TensorFlow,vgg16,fashionmnist,2,Training,111517.08906700001,290.686154,97595.30099999999,13921.788067,383.63398989757184
Python/TensorFlow,vgg16,fashionmnist,3,Inference,3828.952875,11.609518,3217.65,611.302875,329.811528351134
Python/TensorFlow,vgg16,fashionmnist,3,Training,111156.092115,290.335219,97378.197,13777.895115,382.85431749497815
Python/TensorFlow,vgg16,fashionmnist,4,Inference,3710.941026,11.647087,3083.475,627.4660259999999,318.6153779052221
Python/TensorFlow,vgg16,fashionmnist,4,Training,111502.032856,290.76284,97368.08,14133.952856,383.4810282359328
Python/TensorFlow,vgg16,tinyimagenet,0,Inference,7252.458808,22.334645,5966.16,1286.298808,324.7178904343454
Python/TensorFlow,vgg16,tinyimagenet,0,Training,188933.159712,483.06037200000003,163702.926,25230.233712,391.1170749315781
Python/TensorFlow,vgg16,tinyimagenet,1,Inference,7191.319168,22.143285,5901.297,1290.022168,324.76297748956404
Python/TensorFlow,vgg16,tinyimagenet,1,Training,189321.729892,482.502314,163871.401,25450.328892,392.37476049078595
Python/TensorFlow,vgg16,tinyimagenet,2,Inference,7098.765508,22.151504,5821.508,1277.257508,320.46426770841384
Python/TensorFlow,vgg16,tinyimagenet,2,Training,187734.009353,480.04361,162662.347,25071.662353,391.0769885115229
Python/TensorFlow,vgg16,tinyimagenet,3,Inference,7104.304352,22.001285,5849.997,1254.307352,322.9040645580474
Python/TensorFlow,vgg16,tinyimagenet,3,Training,188235.51054,481.903698,163421.472,24814.03854,390.60814706593095
Python/TensorFlow,vgg16,tinyimagenet,4,Inference,7092.200722,22.120809,5822.622,1269.578722,320.6121766161445
Python/TensorFlow,vgg16,tinyimagenet,4,Training,187551.431605,479.688409,162646.479,24904.952605,390.98595689644856
R/torch,resnet18,cifar100,0,Inference,65632.700083,375.789801,45430.047,20202.653083,174.65269123416152
R/torch,resnet18,cifar100,0,Training,263016.683715,1442.703621,183532.699,79483.984715,182.30818851947691
R/torch,resnet18,cifar100,1,Inference,64774.4136,374.136023,45009.078,19765.3356,173.13065200353614
R/torch,resnet18,cifar100,1,Training,259758.037843,1438.584302,181846.346,77911.69184300001,180.5650440379962
R/torch,resnet18,cifar100,2,Inference,63561.496333,374.332747,44337.415,19224.081333,169.79945474286814
R/torch,resnet18,cifar100,2,Training,254845.095471,1438.090096,179147.094,75698.001471,177.21079936496554
R/torch,resnet18,cifar100,3,Inference,64888.004704,376.901039,45152.334,19735.670704,172.16191517052303
R/torch,resnet18,cifar100,3,Training,260338.06962,1447.528321,182579.205,77758.86462,179.8500698350067
R/torch,resnet18,cifar100,4,Inference,65202.336844,376.123558,45245.523,19956.813844,173.35350433965638
R/torch,resnet18,cifar100,4,Training,261122.47263,1443.757525,182567.477,78554.99563,180.86310762605376
R/torch,resnet18,fashionmnist,0,Inference,72277.915652,419.030621,50116.895,22161.020652,172.48838636067123
R/torch,resnet18,fashionmnist,0,Training,352035.29747,1960.81644,245793.136,106242.16147,179.5350601354607
R/torch,resnet18,fashionmnist,1,Inference,72287.352,415.993828,50119.384,22167.968,173.77025122593886
R/torch,resnet18,fashionmnist,1,Training,353822.302273,1954.960135,247066.168,106756.134273,180.9869653802429
R/torch,resnet18,fashionmnist,2,Inference,70487.183989,415.305928,49065.383,21421.800989,169.7235200288304
R/torch,resnet18,fashionmnist,2,Training,343082.412547,1941.405817,240587.757,102494.655547,176.71854567591419
R/torch,resnet18,fashionmnist,3,Inference,72155.511809,418.126059,50014.308,22141.203809,172.5687989444351
R/torch,resnet18,fashionmnist,3,Training,351167.281558,1951.4692989999999,245146.185,106021.096558,179.95019534150512
R/torch,resnet18,fashionmnist,4,Inference,72361.30576,418.669621,50188.452,22172.853759999998,172.83629413369832
R/torch,resnet18,fashionmnist,4,Training,350339.650234,1951.604367,244500.937,105838.713234,179.51366381319437
R/torch,resnet18,tinyimagenet,0,Inference,72521.292193,418.532013,50381.177,22140.115193,173.27537665081786
R/torch,resnet18,tinyimagenet,0,Training,545175.56652,3011.159253,381323.425,163852.14152,181.05172151783233
R/torch,resnet18,tinyimagenet,1,Inference,72015.584719,416.458369,49990.661,22024.923719,172.92385044854268
R/torch,resnet18,tinyimagenet,1,Training,543960.313368,3002.073215,380499.279,163461.034368,181.19488580427577
R/torch,resnet18,tinyimagenet,2,Inference,70790.260356,416.125364,49314.75,21475.510356,170.11762915754397
R/torch,resnet18,tinyimagenet,2,Training,535746.121985,3003.190402,375690.179,160055.942985,178.39232625018224
R/torch,resnet18,tinyimagenet,3,Inference,71533.136976,418.537259,49671.292,21861.844976,170.91223167780146
R/torch,resnet18,tinyimagenet,3,Training,538147.819226,3006.96297,376131.372,162016.447226,178.96722526849075
R/torch,resnet18,tinyimagenet,4,Inference,72111.549998,418.028769,49966.378,22145.171998,172.503797215928
R/torch,resnet18,tinyimagenet,4,Training,545073.179411,3018.781822,380827.524,164245.65541099999,180.5606405334317
R/torch,vgg16,cifar100,0,Inference,63703.334608,358.264887,44601.165,19102.169608,177.81071190490403
R/torch,vgg16,cifar100,0,Training,247894.869879,1263.239282,178978.924,68915.945879,196.2374614305257
R/torch,vgg16,cifar100,1,Inference,62982.205117,356.612493,43997.176,18985.029117,176.61244727340497
R/torch,vgg16,cifar100,1,Training,245894.595279,1259.419531,177208.276,68686.319279,195.24438777263967
R/torch,vgg16,cifar100,2,Inference,63638.454027,358.028566,44544.438,19094.016027,177.74686176018702
R/torch,vgg16,cifar100,2,Training,248206.551265,1264.796428,179176.896,69029.655265,196.2422930443317
R/torch,vgg16,cifar100,3,Inference,62994.836955,358.60312799999997,44140.905,18853.931955,175.6672823974921
R/torch,vgg16,cifar100,3,Training,245035.102713,1262.784976,177036.067,67999.035713,194.04340989958058
R/torch,vgg16,cifar100,4,Inference,63117.551303,357.453807,44131.732,18985.819303,176.5754065755411
R/torch,vgg16,cifar100,4,Training,246684.344613,1264.979625,177929.937,68754.407613,195.01052802569845
R/torch,vgg16,fashionmnist,0,Inference,71229.006457,402.71941400000003,49928.645,21300.361457,176.87005885690922
R/torch,vgg16,fashionmnist,0,Training,336900.743295,1741.870459,242634.921,94265.822295,193.41320220127804
R/torch,vgg16,fashionmnist,1,Inference,70888.257502,399.28937,49646.012,21242.245501999998,177.53604986278495
R/torch,vgg16,fashionmnist,1,Training,335886.671679,1731.01779,241697.613,94189.058679,194.03998827707022
R/torch,vgg16,fashionmnist,2,Inference,70690.277237,400.694893,49448.005,21242.272237,176.41921190395607
R/torch,vgg16,fashionmnist,2,Training,336270.291917,1741.924462,241816.091,94454.200917,193.04527793984218
R/torch,vgg16,fashionmnist,3,Inference,70878.24755,401.036329,49591.144,21287.10355,176.73772280615503
R/torch,vgg16,fashionmnist,3,Training,334958.200805,1735.435896,240791.058,94167.142805,193.0109902515235
R/torch,vgg16,fashionmnist,4,Inference,70512.630158,399.769883,49297.37,21215.260158,176.38304723920388
R/torch,vgg16,fashionmnist,4,Training,334042.181197,1736.754975,239724.331,94317.85019699999,192.3369652054689
R/torch,vgg16,tinyimagenet,0,Inference,71651.196308,403.706771,50014.559,21636.637308,177.4832662095727
R/torch,vgg16,tinyimagenet,0,Training,537074.73799,2749.825879,386031.527,151043.21099,195.3122712574486
R/torch,vgg16,tinyimagenet,1,Inference,70609.299617,399.609765,49381.623,21227.676617,176.6956310914975
R/torch,vgg16,tinyimagenet,1,Training,533844.338437,2741.329146,384425.153,149419.185437,194.73923414704032
R/torch,vgg16,tinyimagenet,2,Inference,71100.647576,401.923867,49727.068,21373.579576,176.90078498373924
R/torch,vgg16,tinyimagenet,2,Training,536025.124849,2753.705699,385706.4,150318.724849,194.65592312339547
R/torch,vgg16,tinyimagenet,3,Inference,70689.880386,402.515616,49508.575,21181.305386,175.62021838675696
R/torch,vgg16,tinyimagenet,3,Training,532493.472213,2753.305455,383721.181,148772.291213,193.40152442802605
R/torch,vgg16,tinyimagenet,4,Inference,70601.65898000001,401.544885,49333.386,21268.27298,175.82507365272502
R/torch,vgg16,tinyimagenet,4,Training,534080.778458,2763.900635,384044.105,150036.673458,193.23443531029835
Rust/tch,resnet18,cifar100,0,Inference,3069.726384,16.494289000000002,2245.244,824.482384,186.10843935134153
Rust/tch,resnet18,cifar100,0,Training,36340.432641,137.503314,29471.642,6868.790641,264.2876857571593
Rust/tch,resnet18,cifar100,1,Inference,3030.496278,16.451428,2213.096,817.400278,184.20870686727014
Rust/tch,resnet18,cifar100,1,Training,36030.230402,137.13816,29215.483,6814.747402,262.7294284975094
Rust/tch,resnet18,cifar100,2,Inference,3143.494639,16.450211,2321.683,821.811639,191.0914479455613
Rust/tch,resnet18,cifar100,2,Training,36268.391742,137.77311,29433.754,6834.637742,263.24724572160704
Rust/tch,resnet18,cifar100,3,Inference,2981.861632,16.471228,2178.848,803.013632,181.03456718588316
Rust/tch,resnet18,cifar100,3,Training,35483.139959,137.425631,28804.534,6678.605959,258.1988505404789
Rust/tch,resnet18,cifar100,4,Inference,2966.605233,16.428217,2147.8849999999998,818.720233,180.57986651868552
Rust/tch,resnet18,cifar100,4,Training,36104.824815,137.353965,29274.886,6829.938815,262.859720249066
Rust/tch,resnet18,fashionmnist,0,Inference,2536.449337,13.535502,1834.909,701.540337,187.39233587346817
Rust/tch,resnet18,fashionmnist,0,Training,39953.398462,147.325603,32510.865,7442.533462,271.19114158317745
Rust/tch,resnet18,fashionmnist,1,Inference,2574.602601,13.63714,1838.839,735.763601,188.79344210002978
Rust/tch,resnet18,fashionmnist,1,Training,40644.742757,147.693698,32935.241,7709.501757,275.19618851306706
Rust/tch,resnet18,fashionmnist,2,Inference,2533.302238,13.681438,1820.608,712.694238,185.16344831588611
Rust/tch,resnet18,fashionmnist,2,Training,40102.612252,147.69717599999998,32599.22,7503.392252,271.51915383947494
Rust/tch,resnet18,fashionmnist,3,Inference,2514.037649,13.575237,1798.228,715.809649,185.1929103705519
Rust/tch,resnet18,fashionmnist,3,Training,40387.310376,147.654418,32797.732,7589.578376,273.52591898740206
Rust/tch,resnet18,fashionmnist,4,Inference,2576.826035,13.602719,1859.838,716.988035,189.43462957663095
Rust/tch,resnet18,fashionmnist,4,Training,40098.876603,147.263197,32553.752,7545.124603,272.29394322466055
Rust/tch,resnet18,tinyimagenet,0,Inference,10493.403303000001,59.158584,7572.751,2920.652303,177.37752653106102
Rust/tch,resnet18,tinyimagenet,0,Training,136741.272542,711.3453030000001,101568.055,35173.217542,192.22910724975995
Rust/tch,resnet18,tinyimagenet,1,Inference,10572.310103,59.571275,7630.36,2941.950103,177.47328898030133
Rust/tch,resnet18,tinyimagenet,1,Training,137473.579877,717.223286,102095.749,35377.830877,191.67473025548142
Rust/tch,resnet18,tinyimagenet,2,Inference,10504.752260000001,59.275708,7577.988,2926.76426,177.21850340446377
Rust/tch,resnet18,tinyimagenet,2,Training,136371.064857,711.999016,101162.287,35208.777857,191.53265916451772
Rust/tch,resnet18,tinyimagenet,3,Inference,10481.032014,59.221683999999996,7563.461,2917.571014,176.97963492561274
Rust/tch,resnet18,tinyimagenet,3,Training,136098.515774,712.727099,101000.455,35098.060774,190.9545967382952
Rust/tch,resnet18,tinyimagenet,4,Inference,10465.100964,59.403735,7528.232,2936.8689640000002,176.1690736112805
Rust/tch,resnet18,tinyimagenet,4,Training,136362.971173,714.629786,101051.581,35311.390173,190.81624338143666
Rust/tch,vgg16,cifar100,0,Inference,8935.553611000001,25.787711,7589.753,1345.800611,346.50433344006376
Rust/tch,vgg16,cifar100,0,Training,162207.112374,424.029157,140125.847,22081.265374,382.5376385001751
Rust/tch,vgg16,cifar100,1,Inference,8909.050578,25.577013,7594.4,1314.650578,348.32255736821185
Rust/tch,vgg16,cifar100,1,Training,161385.724129,422.162501,139920.767,21464.957129,382.2834186994737
Rust/tch,vgg16,cifar100,2,Inference,8588.397812,25.630081,7336.35,1252.047812,335.0905450513402
Rust/tch,vgg16,cifar100,2,Training,158917.11365,421.878991,138325.748,20591.36565,376.6888540083761
Rust/tch,vgg16,cifar100,3,Inference,8733.383924,25.694698,7450.824,1282.559924,339.8905067496804
Rust/tch,vgg16,cifar100,3,Training,160379.268366,422.532708,139390.893,20988.375366,379.5665171700743
Rust/tch,vgg16,cifar100,4,Inference,8737.036061,25.647848,7455.592,1281.444061,340.65376794965414
Rust/tch,vgg16,cifar100,4,Training,160503.64304,422.141493,139517.374,20986.26904,380.21290420745254
Rust/tch,vgg16,fashionmnist,0,Inference,8307.389873,22.607731,7137.2119999999995,1170.177873,367.45792282294934
Rust/tch,vgg16,fashionmnist,0,Training,187496.939603,488.94959900000003,162832.041,24664.898603,383.46884829534343
Rust/tch,vgg16,fashionmnist,1,Inference,8188.4624140000005,22.620191,7006.39,1182.072414,361.9979342349497
Rust/tch,vgg16,fashionmnist,1,Training,188088.869538,489.41366,163164.882,24923.987538,384.3147114814899
Rust/tch,vgg16,fashionmnist,2,Inference,8379.805338,22.572043,7192.047,1187.758338,371.2470926092069
Rust/tch,vgg16,fashionmnist,2,Training,188231.858132,489.050244,163119.312,25112.546132,384.8926780864667
Rust/tch,vgg16,fashionmnist,3,Inference,8256.4244,22.676365,7061.269,1195.1554,364.0982317933231
Rust/tch,vgg16,fashionmnist,3,Training,188712.422937,489.550921,163567.999,25144.423937,385.48068207392873
Rust/tch,vgg16,fashionmnist,4,Inference,8220.006131,22.706902,7021.965,1198.041131,362.00473895558275
Rust/tch,vgg16,fashionmnist,4,Training,189144.012988,489.934375,163801.86800000002,25342.144988,386.05989422154755
Rust/tch,vgg16,tinyimagenet,0,Inference,16922.795864,68.679724,13507.364,3415.431864,246.40162887084406
Rust/tch,vgg16,tinyimagenet,0,Training,412790.27004,1270.692833,349434.402,63355.86804,324.85448829158537
Rust/tch,vgg16,tinyimagenet,1,Inference,17217.53128,68.622564,13669.715,3547.81628,250.90189401841644
Rust/tch,vgg16,tinyimagenet,1,Training,415857.24082,1271.272056,350468.931,65388.30982,327.11899774504286
Rust/tch,vgg16,tinyimagenet,2,Inference,17050.524164000002,68.430729,13615.864,3434.660164,249.16473071622548
Rust/tch,vgg16,tinyimagenet,2,Training,413706.601561,1267.945485,350353.058,63353.543561,326.2810637012521
Rust/tch,vgg16,tinyimagenet,3,Inference,17160.723689,68.564908,13667.181,3493.542689,250.2843537542557
Rust/tch,vgg16,tinyimagenet,3,Training,416301.05619699997,1269.955093,351813.877,64487.179197,327.8076984703269
Rust/tch,vgg16,tinyimagenet,4,Inference,17071.644418,68.502623,13635.925,3435.719418,249.21154359300957
Rust/tch,vgg16,tinyimagenet,4,Training,414442.673287,1268.074685,351140.634,63302.039287,326.82828400363496
