phase,a,b,median_a_J,median_b_J,ratio_b_over_a,U,p_raw,cliffs_delta,magnitude,p_holm,significant_0.05
Inference,C++/LibTorch,Java/DL4J,292.362313,897.309362,3.069169,0.0,0.0,-1.0,large,0.0,True
Inference,C++/LibTorch,MATLAB/DLT,292.362313,542.666562,1.856144,267.0,0.0,-0.983519,large,0.0,True
Inference,C++/LibTorch,Python/JAX,292.362313,452.429585,1.547496,3192.0,0.0,-0.802963,large,0.0,True
Inference,C++/LibTorch,Python/PyTorch,292.362313,362.301053,1.239219,5757.0,0.0,-0.64463,large,0.0,True
Inference,C++/LibTorch,Python/TensorFlow,292.362313,930.398773,3.182349,0.0,0.0,-1.0,large,0.0,True
Inference,C++/LibTorch,R/torch,292.362313,2708.346362,9.263664,0.0,0.0,-1.0,large,0.0,True
Inference,C++/LibTorch,Rust/tch,292.362313,808.999675,2.767113,23.0,0.0,-0.99858,large,0.0,True
Inference,Java/DL4J,MATLAB/DLT,897.309362,542.666562,0.604771,28169.0,0.0,0.738827,large,0.0,True
Inference,Java/DL4J,Python/JAX,897.309362,452.429585,0.504207,29016.0,0.0,0.791111,large,0.0,True
Inference,Java/DL4J,Python/PyTorch,897.309362,362.301053,0.403764,32369.0,0.0,0.998086,large,0.0,True
Inference,Java/DL4J,Python/TensorFlow,897.309362,930.398773,1.036876,11158.0,0.0,-0.311235,small,1e-06,True
Inference,Java/DL4J,R/torch,897.309362,2708.346362,3.018297,347.0,0.0,-0.97858,large,0.0,True
Inference,Java/DL4J,Rust/tch,897.309362,808.999675,0.901584,18735.0,0.010253,0.156481,small,0.010253,True
Inference,MATLAB/DLT,Python/JAX,542.666562,452.429585,0.833716,21798.0,0.0,0.345556,medium,0.0,True
Inference,MATLAB/DLT,Python/PyTorch,542.666562,362.301053,0.667631,27617.0,0.0,0.704753,large,0.0,True
Inference,MATLAB/DLT,Python/TensorFlow,542.666562,930.398773,1.714494,377.0,0.0,-0.976728,large,0.0,True
Inference,MATLAB/DLT,R/torch,542.666562,2708.346362,4.990811,0.0,0.0,-1.0,large,0.0,True
Inference,MATLAB/DLT,Rust/tch,542.666562,808.999675,1.490786,5173.0,0.0,-0.680679,large,0.0,True
Inference,Python/JAX,Python/PyTorch,452.429585,362.301053,0.80079,21382.0,0.0,0.319877,small,0.0,True
Inference,Python/JAX,Python/TensorFlow,452.429585,930.398773,2.05645,233.0,0.0,-0.985617,large,0.0,True
Inference,Python/JAX,R/torch,452.429585,2708.346362,5.986227,0.0,0.0,-1.0,large,0.0,True
Inference,Python/JAX,Rust/tch,452.429585,808.999675,1.788123,3802.0,0.0,-0.765309,large,0.0,True
Inference,Python/PyTorch,Python/TensorFlow,362.301053,930.398773,2.568027,0.0,0.0,-1.0,large,0.0,True
Inference,Python/PyTorch,R/torch,362.301053,2708.346362,7.475403,0.0,0.0,-1.0,large,0.0,True
Inference,Python/PyTorch,Rust/tch,362.301053,808.999675,2.232949,434.0,0.0,-0.97321,large,0.0,True
Inference,Python/TensorFlow,R/torch,930.398773,2708.346362,2.910952,0.0,0.0,-1.0,large,0.0,True
Inference,Python/TensorFlow,Rust/tch,930.398773,808.999675,0.869519,25752.0,0.0,0.58963,large,0.0,True
Inference,R/torch,Rust/tch,2708.346362,808.999675,0.298706,32400.0,0.0,1.0,large,0.0,True
