ecosystem,model,dataset,repetition,tracked_j,tracked_s,untracked_s,gap_power_bound_w,job_j_lower,job_j_upper,inflation
Cpp/LibTorch,resnet18,cifar100,0,29466.486328999996,99.34594799999999,271.08308,156.00522362512336,29466.486328999996,71756.86284538721,2.4352025567013853
Cpp/LibTorch,resnet18,cifar100,1,29571.478257,99.435796,195.006931,156.00522362512336,29571.478257,59993.578136104,2.0287649340594816
Cpp/LibTorch,resnet18,cifar100,2,28891.621154000004,98.92755799999999,193.51394000000005,156.00522362512336,28891.621154000004,59080.80663827872,2.044911440703253
Cpp/LibTorch,resnet18,cifar100,3,29715.447199,99.65885999999999,194.812884,156.00522362512336,29715.447199,60107.27473247521,2.022761909990639
Cpp/LibTorch,resnet18,cifar100,4,29036.81191,98.93598,270.489825,156.00522362512336,29036.81191,71234.63754744548,2.4532527113595743
Cpp/LibTorch,resnet18,fashionmnist,0,33629.991522,112.35485100000001,194.64540499999998,156.00522362512336,33629.991522,63995.6914566277,1.90293510525458
Cpp/LibTorch,resnet18,fashionmnist,1,34281.458294,112.90554100000001,271.08516,156.00522362512336,34281.458294,76572.15930125234,2.233631913921647
Cpp/LibTorch,resnet18,fashionmnist,2,33897.153695,112.67431699999999,194.30436200000003,156.00522362512336,33897.153695,64209.649140146925,1.8942489896907824
Cpp/LibTorch,resnet18,fashionmnist,3,33251.332791,112.07277,270.92026,156.00522362512336,33251.332791,75516.30853687656,2.271076140361996
Cpp/LibTorch,resnet18,fashionmnist,4,34121.827767,112.388665,193.590438,156.00522362512336,34121.827767,64322.94733887559,1.8850967708442563
Cpp/LibTorch,resnet18,tinyimagenet,0,68127.616271,235.476842,194.15201499999998,156.00522362512336,68127.616271,98416.34478834331,1.4445881152932156
Cpp/LibTorch,resnet18,tinyimagenet,1,67463.915139,233.97410200000002,194.59474999999998,156.00522362512336,67463.915139,97821.71262902497,1.4499857060989858
Cpp/LibTorch,resnet18,tinyimagenet,2,68120.680551,233.91573,193.64635199999998,156.00522362512336,68120.680551,98330.52299894935,1.4434753470399069
Cpp/LibTorch,resnet18,tinyimagenet,3,68010.844529,235.838789,193.788573,156.00522362512336,68010.844529,98242.87419585855,1.444517780601409
Cpp/LibTorch,resnet18,tinyimagenet,4,66907.640119,233.45991999999998,194.086581,156.00522362512336,66907.640119,97186.16059054062,1.4525420477794182
Cpp/LibTorch,vgg16,cifar100,0,152479.167527,388.79512700000004,193.91969,156.00522362512336,152479.167527,182731.65213076462,1.1984040514807224
Cpp/LibTorch,vgg16,cifar100,1,150860.841225,388.022002,239.656996,156.00522362512336,150860.841225,188248.5844793053,1.2478293435905192
Cpp/LibTorch,vgg16,cifar100,2,150801.08751299998,388.048881,195.61575499999998,156.00522362512336,150801.08751299998,181318.16711637232,1.2023664424882983
Cpp/LibTorch,vgg16,cifar100,3,151457.85257500003,388.30617900000004,194.37416799999994,156.00522362512336,151457.85257500003,181781.2381207873,1.2002100586417037
Cpp/LibTorch,vgg16,cifar100,4,151778.62285899997,388.411393,248.293045,156.00522362512336,151778.62285899997,190513.63486878778,1.2552072965227261
Cpp/LibTorch,vgg16,fashionmnist,0,180531.81007,462.36034800000004,194.81193099999996,156.00522362512336,180531.81007,210923.48893049711,1.1683452841286692
Cpp/LibTorch,vgg16,fashionmnist,1,181617.06478500002,463.209614,194.92040099999997,156.00522362512336,181617.06478500002,212025.66553210374,1.1674325085206156
Cpp/LibTorch,vgg16,fashionmnist,2,180566.82869700002,462.192639,194.94154000000003,156.00522362512336,180566.82869700002,210978.72723852596,1.1684246146481234
Cpp/LibTorch,vgg16,fashionmnist,3,180342.70300499996,462.26814900000005,194.85702799999996,156.00522362512336,180342.70300499996,210741.41723306687,1.1685608218216852
Cpp/LibTorch,vgg16,fashionmnist,4,179793.29245100002,462.2334910000001,194.90176599999995,156.00522362512336,179793.29245100002,210198.98604076146,1.1691147271139053
Cpp/LibTorch,vgg16,tinyimagenet,0,303737.31102600007,769.4980240000001,194.5566839999999,156.00522362512336,303737.31102600007,334089.1700211825,1.0999279900538275
Cpp/LibTorch,vgg16,tinyimagenet,1,303184.00687,765.716099,195.254093,156.00522362512336,303184.00687,333644.6653121856,1.1004692125968458
Cpp/LibTorch,vgg16,tinyimagenet,2,300993.9038599999,767.209016,270.8438080000001,156.00522362512336,300993.9038599999,343246.9526945199,1.1403784206014118
Cpp/LibTorch,vgg16,tinyimagenet,3,299760.35037500004,763.682337,270.25325999999995,156.00522362512336,299760.35037500004,341921.27063671866,1.1406487556108582
Cpp/LibTorch,vgg16,tinyimagenet,4,303961.1675069999,768.454537,195.583124,156.00522362512336,303961.1675069999,334473.15650392015,1.1003812073995194
Java/DL4J,resnet18,cifar100,0,266744.210234,1068.0691920000002,110.45801199999983,232.77495275377726,266744.210234,292456.0687585761,1.0963914399567305
Java/DL4J,resnet18,cifar100,1,266176.374184,1060.952724,100.04314999999997,232.77495275377726,266176.374184,289463.9136985891,1.0874891304158012
Java/DL4J,resnet18,cifar100,2,262718.13439200004,1064.596829,138.91316499999994,232.77495275377726,262718.13439200004,295053.6398117527,1.123080599268816
Java/DL4J,resnet18,cifar100,3,266461.681246,1074.3400379999998,138.77300700000023,232.77495275377726,266461.681246,298764.56139392464,1.1212289887118978
Java/DL4J,resnet18,cifar100,4,266568.7087950001,1071.932224,100.32493199999999,232.77495275377726,266568.7087950001,289921.840101326,1.0876064239193401
Java/DL4J,resnet18,fashionmnist,0,315514.0251440001,1267.884782,100.91481499999986,232.77495275377726,315514.0251440001,339004.46643778123,1.074451337886042
Java/DL4J,resnet18,fashionmnist,1,316918.7587180001,1277.2918989999998,99.7995420000002,232.77495275377726,316918.7587180001,340149.59239189874,1.073302172985506
Java/DL4J,resnet18,fashionmnist,2,312810.85404,1277.6472780000001,138.5120969999998,232.77495275377726,312810.85404,345053.0008750016,1.1030723404210223
Java/DL4J,resnet18,fashionmnist,3,315629.08463199995,1275.0763020000002,138.56842099999972,232.77495275377726,315629.08463199995,347884.3422834404,1.1021935531988367
Java/DL4J,resnet18,fashionmnist,4,315230.220511,1267.2532310000004,138.5494089999995,232.77495275377726,315230.220511,347481.0526450387,1.1023088207779028
Java/DL4J,resnet18,tinyimagenet,0,525210.694116,2096.053146,138.99392599999965,232.77495275377726,525210.694116,557564.9986737119,1.0616025243205844
Java/DL4J,resnet18,tinyimagenet,1,523276.15670999995,2088.5318789999997,138.5285670000003,232.77495275377726,523276.15670999995,555522.1373484735,1.0616232561430166
Java/DL4J,resnet18,tinyimagenet,2,518192.443417,2084.4316540000004,100.4046999999996,232.77495275377726,518192.443417,541564.1427157571,1.0451023545319233
Java/DL4J,resnet18,tinyimagenet,3,519649.310255,2082.534341,138.99601200000006,232.77495275377726,519649.310255,552004.1003812635,1.0622627404439091
Java/DL4J,resnet18,tinyimagenet,4,522587.02788500005,2085.996983,100.99644200000012,232.77495275377726,522587.02788500005,546096.4698998497,1.0449866543951474
Java/DL4J,vgg16,cifar100,0,510334.03063699993,1311.8586870000001,138.83931599999983,232.77495275377726,510334.03063699993,542652.3458592666,1.0633277682499966
Java/DL4J,vgg16,cifar100,1,509214.7206339999,1319.089506,99.81493,232.77495275377726,509214.7206339999,532449.1362488715,1.0456279339017212
Java/DL4J,vgg16,cifar100,2,511270.18826699996,1308.567806,100.23225699999989,232.77495275377726,511270.18826699996,534601.7471545794,1.0456344989850943
Java/DL4J,vgg16,cifar100,3,508905.92954900005,1304.952467,138.83670099999995,232.77495275377726,508905.92954900005,541223.6360647654,1.0635042836785293
Java/DL4J,vgg16,cifar100,4,509488.789629,1308.4017029999998,100.45773500000018,232.77495275377726,509488.789629,532872.8341473765,1.0458970736832194
Java/DL4J,vgg16,fashionmnist,0,605216.6147130001,1559.0474259999999,100.89161100000024,232.77495275377726,605216.6147130001,628701.6546967777,1.0388043543631307
