work_s,stop_cost_s,lookups_outstanding
2.0,4.571,2
5.0,4.558,2
8.0,4.556,2
9.0,3.017,1
10.0,3.016,1
11.0,3.014,1
12.0,0.011,0
15.0,0.013,0
20.0,0.014,0
