ecosystem,n_runs,coverage_pct,coverage_min_pct,untracked_s_per_run
Cpp/LibTorch,9,42.6,29.6,243.8
Java/DL4J,9,92.7,88.7,129.8
Python/JAX,6,44.9,37.2,241.6
Python/PyTorch,8,50.3,37.0,220.4
Python/TensorFlow,8,47.4,35.4,239.9
R/torch,11,99.7,99.6,6.5
Rust/tch,8,53.8,35.0,224.2
