ecosystem,phase,n_epochs,mean_energy_j,median_energy_j,cv_pct,epoch_ci95_lo,epoch_ci95_hi
C++/LibTorch,Inference,180,246.183,238.203,21.751,238.49,253.942
C++/LibTorch,Training,180,4162.86,3706.359,56.291,3823.099,4511.453
Java/DL4J,Inference,180,896.744,843.215,44.503,841.481,957.326
Java/DL4J,Training,180,14480.139,12596.026,30.837,13839.571,15119.644
MATLAB/DLT,Inference,180,532.583,485.682,29.825,509.94,555.537
MATLAB/DLT,Training,180,12337.071,10702.759,81.028,10901.918,13828.135
Python/JAX,Inference,180,806.097,725.73,36.234,762.795,848.5
Python/JAX,Training,180,5478.24,3738.108,51.445,5066.689,5892.762
Python/PyTorch,Inference,180,628.451,583.269,22.581,608.096,649.391
Python/PyTorch,Training,180,5266.516,5029.033,43.16,4939.214,5614.89
Python/TensorFlow,Inference,180,1661.035,1500.093,19.028,1615.693,1707.008
Python/TensorFlow,Training,180,13716.742,10289.335,45.87,12799.295,14655.335
R/torch,Inference,180,1792.139,1830.732,8.647,1768.98,1814.745
R/torch,Training,180,14059.139,12869.209,34.218,13363.12,14776.791
Rust/tch,Inference,180,1236.436,1169.209,20.924,1198.956,1275.638
Rust/tch,Training,180,3164.675,2236.903,72.728,2834.576,3513.21
