model,dataset,n_ecosystems,raw_spread_pp,converged_spread_pp,converged_min_pct,converged_max_pct
resnet18,cifar100,7,6.49,6.49,28.23,34.73
resnet18,fashionmnist,7,0.52,0.52,89.94,90.45
resnet18,tinyimagenet,7,3.3,3.3,13.92,17.22
vgg16,cifar100,7,2.64,2.64,32.01,34.65
vgg16,fashionmnist,7,0.42,0.42,92.51,92.93
vgg16,tinyimagenet,7,0.87,0.87,14.52,15.39
