ecosystem,rank_energy,mean_energy_J,ci95_lo_J,ci95_hi_J,median_energy_J,iqr_J,cv_pct,mean_duration_s,median_duration_s,mean_power_W,rank_time,x_vs_best
Rust/tch,1,2079.913,1863.409,2307.778,1468.35,2635.802,73.015,8.798,6.423,236.42,1,1.0
Python/PyTorch,2,3704.089,3445.728,3979.281,3590.284,2298.842,48.185,12.578,11.284,294.48,2,1.781
Python/JAX,3,3789.912,3515.484,4064.082,2690.54,3211.773,49.133,13.698,8.526,276.685,4,1.822
C++/LibTorch,4,3984.91,3711.658,4258.952,3760.561,2300.051,46.768,12.66,11.913,314.756,3,1.916
MATLAB/DLT,5,8098.741,7439.039,8773.023,7531.028,5052.995,56.765,35.081,32.439,230.857,5,3.894
Python/TensorFlow,6,8767.899,8186.493,9364.944,6644.398,7959.876,45.726,39.836,29.355,220.102,6,4.216
Java/DL4J,7,14658.025,14010.908,15304.706,12761.409,9367.636,30.898,53.598,52.568,273.483,7,7.047
R/torch,8,20672.54,19646.713,21733.896,18937.84,14248.056,34.376,102.324,93.878,202.029,8,9.939
