finding,detail
C++ off-the-shelf path does not build,"cpp/CMakeLists.txt comments out all six *_imported targets, and cpp/src/train/imported/train_model.h includes dataset/ImageFolder.h, which does not exist in cpp/src/dataset/ (only InMemoryImageFolder.h and LazyImageFolder.h do). Only the hand-ported native models build, so the manuscript's claim that models are 'natively provided off-the-shelf' does not hold for C++."
C++ loading strategy varied by build target,"Every native target used LazyImageFolder. Among the six imported targets, five listed LazyImageFolder.h and resnet18_fashion_imported listed InMemoryImageFolder.h, i.e. the in-memory preloading the paper mentions applied to exactly one configuration, which was not buildable anyway."
Rust preprocessing differs from every other stack,"rust/src/datasets/cifar100.rs applies per-channel mean/std normalisation (0.5071/0.4867/0.4408, 0.2675/0.2565/0.2761). The other seven ecosystems feed raw [0,1] inputs. This changes the optimisation problem, not just the arithmetic."
Rust trained and evaluated on different inputs,"rust/src/bin/resnet_fashion.rs and vgg_fashion.rs trained on Fashion-MNIST at its native 28x28x1 -- the loader applied no resize and no channel replication -- while their own evaluation loops resized each image to 32x32 and replicated to three channels, as every other ecosystem did for both phases. The conv1 input volume during training was 0.26x everyone else's. Rust/ResNet18/FashionMNIST is also the single cheapest cell in the campaign, at 0.07x the median training energy of the other stacks."
Rust input resolution varied by binary,"resnet_tiny.rs passed resize_to = None, training Tiny ImageNet at its native 64x64, while vgg_tiny.rs passed Some(32) and every other ecosystem used 32x32 -- four times the spatial work for the same nominal configuration, inside the same ecosystem."
Rust evaluated one image at a time,"All six Rust binaries ran inference with test_data.iter_batches(1) while the seven other ecosystems evaluated at batch 128. Batch-1 GPU inference is launch-overhead bound. Rust's inference energy is 1.5-1.95x the median of the other stacks on CIFAR-100 and Fashion-MNIST while its training energy is 0.07-0.61x, which is the manuscript's train/inference ranking reversal reproduced as a pure artefact of batching."
A framework can silently run on the CPU,"TensorFlow 2.21's [and-cuda] extra resolves CUDA 12.9 wheels (cuBLAS 12.9.2, cuDNN 9.24) while the binary is built against CUDA 12.5.1. It cannot dlopen them, reports one warning -- 'Cannot dlopen some GPU libraries' -- and runs the whole workload on the CPU. TensorFlow 2.19.1 on the identical card and driver resolves cuBLAS 12.5.3 and cuDNN 9.3.0 and uses the GPU normally; the compiled compute capabilities are the same in both (sm_60/70/80/89, compute_90), so this is a packaging accident, not a hardware-support limit. Nothing in the measurement reveals it: the run completes, the energy is recorded, and the CPU cost is attributed to the ecosystem. In the first campaign the TensorFlow stack had the LOWEST mean GPU power of all eight -- 113 W training and 97 W inference against a 350 W card -- with a total of 344 W, which is the signature of exactly this failure. The logs cannot settle whether it occurred, because device placement was never recorded. tools/deepgreen_bench.py now refuses to start when the framework cannot see the accelerator and records the resolved device in manifest.json."
Learning rate is not common,"Python/TensorFlow and Rust/tch use 1e-3; the other six use 1e-4. The manuscript states a common learning rate. Energy per epoch is unaffected, but no accuracy-normalised comparison is valid across this difference."
