ecosystem,FashionMNIST,CIFAR100,TinyImageNet
C++/LibTorch,3471.6,2901.1,5582.0
Java/DL4J,12512.8,10622.5,20838.8
MATLAB/DLT,6442.0,5490.3,12363.9
Python/JAX,2690.1,2509.6,6170.0
Python/PyTorch,3165.2,2669.0,5278.1
Python/TensorFlow,6727.3,5364.7,14211.7
R/torch,18963.3,13129.9,29924.5
Rust/tch,1111.0,1029.7,4099.0
