ecosystem,rank_energy,mean_energy_J,ci95_lo_J,ci95_hi_J,median_energy_J,iqr_J,cv_pct,mean_duration_s,median_duration_s,mean_power_W,rank_time,x_vs_best
C++/LibTorch,1,300.428,292.725,308.189,292.362,72.414,17.83,1.575,1.527,190.732,1,1.0
Python/PyTorch,2,400.304,387.246,413.846,362.301,148.029,22.792,1.845,1.758,216.909,2,1.332
Python/JAX,3,504.938,478.763,530.593,452.43,329.156,34.972,2.443,2.24,206.666,3,1.681
MATLAB/DLT,4,586.876,564.723,609.385,542.667,291.801,26.451,3.093,2.922,189.753,4,1.953
Rust/tch,5,821.082,797.887,845.261,809.0,202.176,19.639,3.353,3.032,244.903,5,2.733
Java/DL4J,6,950.657,895.499,1011.215,897.309,327.994,41.913,4.0,3.445,237.692,6,3.164
Python/TensorFlow,7,1033.079,1005.239,1061.514,930.399,394.714,18.882,5.06,4.587,204.164,7,3.439
R/torch,8,2653.999,2619.416,2687.738,2708.346,411.535,8.694,13.339,13.656,198.964,8,8.834
