ecosystem,model,dataset,phase,n_epochs,gpu_ratio,gpu_ratio_sd,cpu_ratio,cpu_ratio_sd,measured_ratio,total_ratio,ram_share_pct
Python/PyTorch,vgg16,fashionmnist,Inference,150,1.0022,0.0151,1.0089,0.001,1.0037,1.0826,7.2915
Python/PyTorch,vgg16,fashionmnist,Training,150,1.0003,0.0017,1.0011,0.0002,1.0005,1.0515,4.8565
Python/PyTorch,vgg16,tinyimagenet,Inference,150,1.0118,0.028,1.0099,0.0022,1.0113,1.0843,6.7266
Python/PyTorch,vgg16,tinyimagenet,Training,150,1.0002,0.0011,1.0007,0.0001,1.0003,1.0507,4.7977
Python/TensorFlow,resnet18,cifar100,Inference,150,1.0041,0.0218,1.0086,0.001,1.0056,1.1064,9.1101
Python/TensorFlow,resnet18,cifar100,Training,150,0.9997,0.0062,1.0006,0.0027,0.9999,1.0659,6.1924
Python/TensorFlow,resnet18,fashionmnist,Inference,150,1.0042,0.0225,1.0092,0.0011,1.0058,1.1049,8.9631
Python/TensorFlow,resnet18,fashionmnist,Training,150,1.0004,0.0027,1.0014,0.0002,1.0006,1.0646,6.0052
Python/TensorFlow,resnet18,tinyimagenet,Inference,150,1.0038,0.0165,1.0087,0.0013,1.0054,1.1044,8.9659
Python/TensorFlow,resnet18,tinyimagenet,Training,150,0.9988,0.0044,0.9993,0.0021,0.9989,1.0634,6.0617
Python/TensorFlow,vgg16,cifar100,Inference,150,1.0036,0.0207,1.0087,0.0011,1.0049,1.0811,7.0519
Python/TensorFlow,vgg16,cifar100,Training,150,1.0007,0.0034,1.0014,0.0002,1.0008,1.0508,4.7513
Python/TensorFlow,vgg16,fashionmnist,Inference,150,1.0115,0.0392,1.0089,0.001,1.0107,1.083,6.6773
Python/TensorFlow,vgg16,fashionmnist,Training,150,1.0005,0.0027,1.0012,0.0002,1.0006,1.0503,4.7341
Python/TensorFlow,vgg16,tinyimagenet,Inference,150,1.0093,0.0324,1.0086,0.0011,1.009,1.0778,6.3865
Python/TensorFlow,vgg16,tinyimagenet,Training,150,1.0002,0.0014,1.0007,0.0001,1.0003,1.0495,4.6854
R/torch,resnet18,cifar100,Inference,150,1.0011,0.0026,1.0008,0.0001,1.001,1.1168,10.3684
R/torch,resnet18,cifar100,Training,150,1.0001,0.0006,1.0002,0.0002,1.0001,1.111,9.9757
R/torch,resnet18,fashionmnist,Inference,150,1.0002,0.0024,1.0004,0.001,1.0002,1.1162,10.3869
R/torch,resnet18,fashionmnist,Training,150,1.0002,0.0006,1.0002,0.0001,1.0002,1.1111,9.9825
R/torch,resnet18,tinyimagenet,Inference,150,1.0005,0.0016,1.0008,0.0001,1.0005,1.1165,10.3812
R/torch,resnet18,tinyimagenet,Training,150,1.0001,0.0003,1.0001,0.0,1.0001,1.1105,9.9431
R/torch,vgg16,cifar100,Inference,150,1.0001,0.0037,1.0002,0.0013,1.0001,1.113,10.1457
R/torch,vgg16,cifar100,Training,150,1.0002,0.0008,1.0002,0.0002,1.0002,1.1023,9.2599
R/torch,vgg16,fashionmnist,Inference,150,1.0008,0.0022,1.0009,0.0001,1.0008,1.1138,10.147
R/torch,vgg16,fashionmnist,Training,150,1.0002,0.0005,1.0002,0.0,1.0002,1.1025,9.2762
R/torch,vgg16,tinyimagenet,Inference,150,1.0003,0.0024,1.0006,0.0008,1.0004,1.1138,10.1829
R/torch,vgg16,tinyimagenet,Training,150,1.0001,0.0003,1.0001,0.0001,1.0001,1.1024,9.28
Rust/tch,resnet18,cifar100,Inference,150,1.004,0.0266,1.0173,0.0022,1.0075,1.1194,9.9941
Rust/tch,resnet18,cifar100,Training,150,1.0005,0.0028,1.0019,0.0009,1.0007,1.0775,7.1227
Rust/tch,resnet18,fashionmnist,Inference,150,1.0083,0.0513,1.024,0.0037,1.0122,1.1192,9.5579
Rust/tch,resnet18,fashionmnist,Training,150,1.0005,0.0032,1.002,0.0002,1.0008,1.0723,6.665
Rust/tch,resnet18,tinyimagenet,Inference,150,1.0074,0.0328,1.0123,0.0024,1.0084,1.1019,8.4851
Rust/tch,resnet18,tinyimagenet,Training,150,1.0006,0.002,1.0008,0.0001,1.0006,1.0802,7.37
Rust/tch,vgg16,cifar100,Inference,150,1.0049,0.0245,1.0129,0.0015,1.0064,1.0842,7.1752
Rust/tch,vgg16,cifar100,Training,150,1.0005,0.0024,1.0012,0.0002,1.0006,1.0581,5.4286
Rust/tch,vgg16,fashionmnist,Inference,150,1.0103,0.0429,1.0164,0.0017,1.0113,1.0835,6.6647
Rust/tch,vgg16,fashionmnist,Training,150,1.0004,0.0021,1.0011,0.0001,1.0005,1.0545,5.1146
Rust/tch,vgg16,tinyimagenet,Inference,150,1.0094,0.0293,1.0105,0.0019,1.0095,1.0838,6.8484
Rust/tch,vgg16,tinyimagenet,Training,150,1.0001,0.0008,1.0005,0.0001,1.0002,1.0604,5.6813
