matmul_allow_tf32,cudnn_allow_tf32,cudnn_deterministic,cudnn_enabled,wall_s_median,gpu_j_median,window_s_median,ratio_wall_s_vs_v1_baseline,ratio_gpu_j_vs_v1_baseline,ratio_wall_s_vs_v2_default,ratio_gpu_j_vs_v2_default,wall_s_runs,gpu_j_runs,window_s_runs,steps,batch,seed
False,True,False,True,0.006,1.8,5.96,1.0,1.0,1.0,1.018,"0.0059,0.0060,0.0060,0.0060,0.0060","1.74,1.80,1.81,1.78,1.80","5.93,5.96,5.96,5.96,5.99",1000,128,1000
False,True,True,True,0.0061,1.8,6.08,1.02,0.995,1.02,1.013,"0.0060,0.0061,0.0061,0.0061,0.0061","1.71,1.79,1.81,1.80,1.82","6.02,6.08,6.12,6.08,6.08",1000,128,1000
False,False,False,True,0.0187,6.52,18.67,3.133,3.615,3.133,3.68,"0.0182,0.0186,0.0187,0.0187,0.0187","6.38,6.52,6.55,6.52,6.52","18.22,18.62,18.75,18.68,18.67",1000,128,1000
False,False,True,True,0.0209,7.29,20.86,3.5,4.04,3.501,4.113,"0.0207,0.0208,0.0209,0.0209,0.0209","7.22,7.29,7.28,7.29,7.32","20.70,20.81,20.88,20.86,20.93",1000,128,1000
True,True,False,True,0.006,1.77,5.96,1.0,0.982,1.0,1.0,"0.0059,0.0060,0.0060,0.0060,0.0060","1.70,1.77,1.77,1.77,1.82","5.90,5.97,5.96,5.96,5.96",1000,128,1000
True,True,False,False,0.0978,23.16,29.35,16.414,12.84,16.417,13.071,"0.0969,0.0978,0.0981,0.0979,0.0978","22.06,22.99,23.19,23.17,23.16","29.07,29.35,29.42,29.37,29.35",300,128,1000
