bin,n_blocks,median_phase_s,reported_power_w,measured_power_w,understated_by
<0.5 s,1614.0,0.31,21.3,208.3,11.2
0.5-1 s,2260.0,0.73,52.0,320.7,5.22
1-2 s,794.0,1.54,95.7,308.4,3.02
2-5 s,1912.0,2.82,157.4,306.2,2.21
5-10 s,1195.0,7.13,251.9,388.4,1.32
10-30 s,2875.0,13.97,344.9,388.3,0.95
>30 s,1950.0,49.12,266.4,246.5,0.93
