ecosystem,phase,n_epochs,gpu_ratio,gpu_ratio_sd,cpu_ratio,cpu_ratio_sd,measured_ratio,total_ratio,ram_share_pct
Cpp/LibTorch,Inference,900,1.0111,0.0633,1.0235,0.0043,1.0136,1.0992,7.7566
Cpp/LibTorch,Training,900,1.0009,0.0041,1.0022,0.0009,1.0011,1.1166,10.3257
Java/DL4J,Inference,900,1.0013,0.0053,1.0016,0.0017,1.0013,1.069,6.316
Java/DL4J,Training,900,1.0001,0.0004,1.0002,0.0001,1.0001,1.0665,6.2072
Python/JAX,Inference,900,1.0061,0.027,1.0086,0.0017,1.0067,1.0951,8.055
Python/JAX,Training,900,1.001,0.0048,1.001,0.0017,1.0009,1.0679,6.2425
Python/PyTorch,Inference,900,1.005,0.0212,1.0087,0.003,1.006,1.1022,8.6914
Python/PyTorch,Training,900,1.0004,0.0023,1.0013,0.0005,1.0006,1.0621,5.782
Python/TensorFlow,Inference,900,1.0061,0.0268,1.0088,0.0011,1.0069,1.0929,7.8591
Python/TensorFlow,Training,900,1.0001,0.0038,1.0008,0.0016,1.0002,1.0574,5.405
R/torch,Inference,900,1.0005,0.0026,1.0006,0.0008,1.0005,1.115,10.2687
R/torch,Training,900,1.0001,0.0005,1.0002,0.0001,1.0001,1.1066,9.6196
Rust/tch,Inference,900,1.0074,0.0358,1.0156,0.005,1.0092,1.0987,8.1209
Rust/tch,Training,900,1.0004,0.0023,1.0013,0.0007,1.0006,1.0672,6.2304
