ecosystem,dataset,final_test_acc_pct,final_test_acc_pct,acc_per_kJ,acc_per_kJ,energy_to_target_J,energy_to_target_J
,,mean,std,mean,std,mean,std
C++/LibTorch,cifar100,30.981,3.22,0.562,0.37,33458.598,27103.671
C++/LibTorch,fashionmnist,91.304,1.105,1.473,1.049,4484.119,3846.177
C++/LibTorch,tinyimagenet,11.595,5.939,0.109,0.086,,
Java/DL4J,cifar100,20.267,13.726,0.063,0.044,242842.156,35083.576
Java/DL4J,fashionmnist,91.032,1.644,0.215,0.065,29398.742,21193.538
Java/DL4J,tinyimagenet,10.228,5.626,0.015,0.008,,
Python/JAX,cifar100,30.562,2.965,1.014,0.516,19588.4,1394.02
Python/JAX,fashionmnist,91.363,1.447,2.824,1.691,3596.256,2298.749
Python/JAX,tinyimagenet,15.192,2.269,0.181,0.049,41548.272,2445.289
Python/PyTorch,cifar100,31.233,2.391,0.237,0.036,37001.195,23518.761
Python/PyTorch,fashionmnist,91.189,1.476,0.583,0.121,6703.127,3498.868
Python/PyTorch,tinyimagenet,12.987,4.442,0.05,0.02,,
Python/TensorFlow,cifar100,22.795,12.331,0.524,0.352,41667.753,1840.377
Python/TensorFlow,fashionmnist,90.98,1.731,1.678,0.938,6507.103,3246.971
Python/TensorFlow,tinyimagenet,11.313,6.361,0.107,0.064,92992.046,
R/torch,cifar100,33.335,1.97,0.119,0.01,65490.188,31488.053
R/torch,fashionmnist,91.644,1.126,0.241,0.009,18732.573,6056.2
R/torch,tinyimagenet,16.569,0.842,0.028,0.001,124565.731,16381.833
Rust/tch,cifar100,28.104,1.207,0.724,0.03,6977.753,668.459
Rust/tch,fashionmnist,92.27,0.409,0.466,0.003,9123.665,3544.15
Rust/tch,tinyimagenet,14.74,0.655,0.065,0.031,,
