ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Java/DL4J,vgg16,fashionmnist,2,1002,1,0.596472,,nan,80.07
Java/DL4J,vgg16,fashionmnist,2,1002,2,0.419927,,nan,84.09
Java/DL4J,vgg16,fashionmnist,2,1002,3,0.353395,,nan,87.66
Java/DL4J,vgg16,fashionmnist,2,1002,4,0.250092,,nan,89.81
Java/DL4J,vgg16,fashionmnist,2,1002,5,0.207033,,nan,89.61
Java/DL4J,vgg16,fashionmnist,2,1002,6,0.405392,,nan,90.74
Java/DL4J,vgg16,fashionmnist,2,1002,7,0.087145,,nan,90.54
Java/DL4J,vgg16,fashionmnist,2,1002,8,0.132081,,nan,91.87
Java/DL4J,vgg16,fashionmnist,2,1002,9,0.100639,,nan,91.58
Java/DL4J,vgg16,fashionmnist,2,1002,10,0.11343,,nan,90.95
Java/DL4J,vgg16,fashionmnist,2,1002,11,0.155045,,nan,90.79
Java/DL4J,vgg16,fashionmnist,2,1002,12,0.158932,,nan,92.09
Java/DL4J,vgg16,fashionmnist,2,1002,13,0.074148,,nan,92.34
Java/DL4J,vgg16,fashionmnist,2,1002,14,0.169271,,nan,91.27
Java/DL4J,vgg16,fashionmnist,2,1002,15,0.046023,,nan,92.24
Java/DL4J,vgg16,fashionmnist,2,1002,16,0.05268,,nan,92.28
Java/DL4J,vgg16,fashionmnist,2,1002,17,0.037686,,nan,92.49
Java/DL4J,vgg16,fashionmnist,2,1002,18,0.041111,,nan,91.83
Java/DL4J,vgg16,fashionmnist,2,1002,19,0.026165,,nan,92.29
Java/DL4J,vgg16,fashionmnist,2,1002,20,0.033849,,nan,92.7
Java/DL4J,vgg16,fashionmnist,2,1002,21,0.038207,,nan,92.21
Java/DL4J,vgg16,fashionmnist,2,1002,22,0.017741,,nan,92.16
Java/DL4J,vgg16,fashionmnist,2,1002,23,0.017724,,nan,92.22
Java/DL4J,vgg16,fashionmnist,2,1002,24,0.006216,,nan,92.43
Java/DL4J,vgg16,fashionmnist,2,1002,25,0.011641,,nan,92.53
Java/DL4J,vgg16,fashionmnist,2,1002,26,0.00851,,nan,92.43
Java/DL4J,vgg16,fashionmnist,2,1002,27,0.025013,,nan,92.42
Java/DL4J,vgg16,fashionmnist,2,1002,28,0.006241,,nan,92.39
Java/DL4J,vgg16,fashionmnist,2,1002,29,0.003889,,nan,92.23
Java/DL4J,vgg16,fashionmnist,2,1002,30,0.065916,,nan,92.73
