ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,train_acc,test_loss,test_acc
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,1,0.8100820183753967,0.6799545884132385,0.4867950975894928,81.09976053237915
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,2,0.4129392206668854,0.8472722768783569,0.37644144892692566,86.43830418586731
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,3,0.3197382390499115,0.8822115659713745,0.3133928179740906,88.35136294364929
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,4,0.27320340275764465,0.9010416865348816,0.2780515253543854,90.34455418586731
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,5,0.23893897235393524,0.9120926856994629,0.3250250816345215,88.29126358032227
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,6,0.2134784311056137,0.9239449501037598,0.24184578657150269,91.38621687889099
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,7,0.1925356239080429,0.9298878312110901,0.26802858710289,90.49479365348816
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,8,0.17214281857013702,0.9380508661270142,0.2219572812318802,92.28765964508057
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,9,0.15263047814369202,0.9456630349159241,0.22316135466098785,92.37780570983887
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,10,0.13595449924468994,0.9519230723381042,0.23003150522708893,92.13742017745972
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,11,0.1177215427160263,0.9575821161270142,0.2580423653125763,91.22596383094788
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,12,0.10228175669908524,0.9629740715026855,0.25456666946411133,92.01722741127014
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,13,0.0890820249915123,0.9683493375778198,0.25643643736839294,92.60817170143127
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,14,0.07299577444791794,0.9741920232772827,0.29044309258461,91.68669581413269
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,15,0.06303255259990692,0.9780148267745972,0.2646820843219757,92.58813858032227
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,16,0.05637883022427559,0.9805688858032227,0.2782015800476074,92.81851053237915
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,17,0.0515252910554409,0.9822048544883728,0.2698834538459778,92.26762652397156
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,18,0.04306141287088394,0.9855435490608215,0.34249332547187805,91.29607081413269
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,19,0.037105899304151535,0.9873964786529541,0.3298693597316742,93.09895634651184
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,20,0.033625174313783646,0.9880308508872986,0.3400305509567261,92.83854365348816
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,21,0.028740618377923965,0.9900674223899841,0.37614762783050537,92.69831776618958
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,22,0.03008119761943817,0.9894497990608215,0.36943838000297546,92.35777258872986
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,23,0.028221048414707184,0.9905014634132385,0.37652984261512756,92.62820482254028
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,24,0.022306665778160095,0.9920706748962402,0.4096660614013672,92.80849099159241
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,25,0.025764036923646927,0.9913194179534912,0.3869394361972809,92.4879789352417
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,26,0.02325216308236122,0.9925046563148499,0.40029776096343994,92.53805875778198
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,27,0.026156507432460785,0.99146968126297,0.4162643551826477,92.41786599159241
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,28,0.02094334550201893,0.9929386973381042,0.3825942575931549,93.0588960647583
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,29,0.014963925816118717,0.9950921535491943,0.3962334096431732,92.84855723381042
Python/TensorFlow,vgg16,fashionmnist,0,1000,fp32,30,0.018420008942484856,0.9942407608032227,0.43441909551620483,92.55809187889099
