modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,model,language
resnet,cifar100,train,6,2025-09-05T12:02:48,codecarbon,99b79e96-f826-46a1-8375-e2f3a55e8186,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.612437961040996,8.143072462221481e-05,3.1170395560232384e-05,42.5,108.47065622075024,188.83806037902832,3.080003872875952e-05,7.861339622650121e-05,0.0001368106127899,0.0002462240477452,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,eval,6,2025-09-05T12:02:54,codecarbon,3596ec5f-9c3c-44a8-b5ae-fef1070671d1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.2487832569750026,7.224672499210154e-05,3.212702903581989e-05,42.5,119.4105533774186,188.83806037902832,2.6473937496080504e-05,7.438672617610109e-05,0.0001175935026934,0.0002184541663656,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,train,7,2025-09-05T12:03:02,codecarbon,bc6d9c4c-4ec7-44d9-b378-b35d1bada9a6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.592784663895145,8.000092555906236e-05,3.085521396091445e-05,42.5,105.18841012086791,188.83806037902832,3.055547597234384e-05,7.56292271724135e-05,0.0001357160266584,0.0002419007298032,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,eval,7,2025-09-05T12:03:08,codecarbon,a5daf095-7210-47ea-83c5-4009a828c3e1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.203378206002526,7.035065486360398e-05,3.192854257700838e-05,42.5,116.81002046571984,188.83806037902832,2.597159372978948e-05,7.138589044330956e-05,0.0001153634891745,0.0002127209733476,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,train,8,2025-09-05T12:03:15,codecarbon,8a977ce8-b022-4664-8154-bbdc7514d143,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.52645936596673,7.88701088013806e-05,3.121764389477983e-05,42.5,109.0446555007691,188.83806037902832,2.9782879251918835e-05,7.64203389138629e-05,0.0001322782337097,0.0002384814518755,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,eval,8,2025-09-05T12:03:23,codecarbon,bdf4e905-cde8-45cd-a11b-9ca625ba9ac0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.489654440083541,0.0001115046253162,3.195291316969522e-05,42.5,116.85318617993092,188.83806037902832,4.115735442634711e-05,0.0001131653683081,0.0001828365045111,0.0003371592272456,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,train,9,2025-09-05T12:03:31,codecarbon,047bdd7b-749f-4dc8-92da-6610a90e6755,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.611325506004505,8.14695454090087e-05,3.119854082598164e-05,42.5,108.78544429550094,188.83806037902832,3.0787047576611963e-05,7.880867415721582e-05,0.0001367457093615,0.0002463414310954,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,eval,9,2025-09-05T12:03:41,codecarbon,525ccccf-dd7a-416d-a018-dab11bc0b307,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.504246286000125,0.0001729353317314,3.141853084796518e-05,42.5,110.96181730466968,188.83806037902832,6.492869176573652e-05,0.0001695237467309,0.0002884562986494,0.0005229087371461,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,train,10,2025-09-05T12:03:48,codecarbon,c441bc18-fa4c-4ec0-81f3-6776f4a7644f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.609154897974804,8.138772690437073e-05,3.119313727503988e-05,42.5,108.71178837133507,188.83806037902832,3.07621664229373e-05,7.869089628798065e-05,0.0001366409717969,0.0002460940345078,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
resnet,cifar100,eval,10,2025-09-05T12:03:55,codecarbon,39038064-850f-4279-90df-b44e80baa2d6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.2231282219290733,7.071816169107392e-05,3.181020374511269e-05,42.5,115.54713312179302,188.83806037902832,2.6202288015176444e-05,7.124144588033232e-05,0.0001163884787178,0.0002138322126133,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,resnet,Rust
