modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,model,language
ResNet18,CIFAR100,train,6,2025-09-04T16:02:51,codecarbon,18057f89-7e3e-4141-8e1f-bd68acf5d33d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.06515755003784,0.0008587204976372,1.243348351178588e-05,42.5,97.6257303020216,0.0381731986999511,0.0008123019437578,0.0017835522601714,6.796939453248095e-07,0.0025965338978745,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,6,2025-09-04T16:03:09,codecarbon,bf3fc056-2c45-4f22-a39c-c08edcd199df,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.452671029954216,0.0001534378055328,1.23216782298169e-05,42.5,98.9024753002422,0.0381789207458496,0.0001464997689474,0.0003173313649789,1.2246259052151538e-07,0.0004639535965168,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,7,2025-09-04T16:04:23,codecarbon,e70e51c0-3b8a-4126-b1c0-9dc2ff555519,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,70.19782562903129,0.0008714806036817,1.2414638144023852e-05,42.5,137.18795596531396,0.0381875038146972,0.0008246304452737,0.001809785336718,7.011565531939462e-07,0.0026351169385449,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,7,2025-09-04T16:04:40,codecarbon,6e0b4c3d-903d-4d67-8d28-eb6c5bbc7df9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.518340745009482,0.0001536022244986,1.2270174428658694e-05,42.5,104.97497557767468,0.0381989479064941,0.000147194593462,0.0003171333092595,1.2285139117833017e-07,0.0004644507541127,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,8,2025-09-04T16:05:55,codecarbon,84f8d3fa-142e-48b8-8083-6c419b0de9c1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.77684013801627,0.0008665669568218,1.2419120084941673e-05,42.5,97.23887629624872,0.0382189750671386,0.0008204800623794,0.0017990908837148,6.884798268971702e-07,0.0026202594259211,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,8,2025-09-04T16:06:12,codecarbon,df595b5d-a8fb-4d88-ada5-bee1b23a6a75,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.206758174928837,0.0001498398711947,1.2275156847336978e-05,42.5,74.18182747205726,0.0382418632507324,0.0001435731579712,0.0003093813586154,1.199190193794207e-07,0.000453074435606,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,9,2025-09-04T16:07:25,codecarbon,c1b7b5b1-714d-4ef8-a787-f7dc6e2fec98,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.07676612609066,0.0008576180702487,1.2415434571491968e-05,42.5,96.93426976745664,0.03825044631958,0.0008118519127044,0.0017806667023094,6.818465537052207e-07,0.0025932004615676,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,9,2025-09-04T16:07:42,codecarbon,45098de5-e88f-4165-bc59-1640f34606e9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.919514112989418,0.0001461241695725,1.2259238773277023e-05,42.5,87.07763583602734,0.0382604598999023,0.0001401463879039,0.0003015749634833,1.1782752819238049e-07,0.0004418391789155,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,10,2025-09-04T16:08:56,codecarbon,9ee2d92b-6219-4b39-ab00-136ca8f77023,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.31006484292448,0.0008601105262658,1.240960498616013e-05,42.5,88.84032774613712,0.0382976531982421,0.0008150700837152,0.0017849755946457,6.91282632501028e-07,0.0026007369609934,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,10,2025-09-04T16:09:10,codecarbon,484a1cf1-2689-4cdc-b3ce-9f3226889b8d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.075803475105204,0.0001231394352674,1.2221301811982187e-05,42.5,91.78819213024951,0.0383133888244628,0.0001185542008797,0.0002536857585013,9.972357377593886e-08,0.0003723396829549,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
